ScaleRank,LabelRank,FeatureCla,SOVEREIGNT,SOV_A3,ADM0_DIF,LEVEL,TYPE,ADMIN,ADM0_A3,GEOU_DIF,GEOUNIT,GU_A3,SU_DIF,SUBUNIT,SU_A3,NAME,ABBREV,POSTAL,NAME_FORMA,TERR_,NAME_SORT,MAP_COLOR,POP_EST,GDP_MD_EST,FIPS_10_,ISO_A2,ISO_A3,ISO_N3,ISO3,LON,LAT,ISO3.1,ADMIN.1,REGION,continent,GEO3major,GEO3,IMAGE24,GLOCAF,Stern,SRESmajor,SRES,GBD,AVOIDnumeric,AVOIDname,LDC,SID,LLDC
1,1,Admin-0 countries,Ecuador,ECU,0,2,Sovereign country,Ecuador,ECU,0,Ecuador,ECU,0,Ecuador,ECU,Ecuador,Ecu.,EC,Republic of Ecuador,NA,Ecuador,12,14573101,107700,0,EC,ECU,218,ECU,-78.38416674608374,-1.4547717055405798,ECU,Ecuador,South America,South America,Latin America and the Caribbean,South America,Rest South America,Rest of South Am,South America,ALM,Latin America and the Caribbean (LAM),"Latin America, Andean",26,South America,other,other,other
1,1,Admin-0 countries,Egypt,EGY,0,2,Sovereign country,Egypt,EGY,0,Egypt,EGY,0,Egypt,EGY,Egypt,Egypt,EG,Arab Republic of Egypt,NA,Egypt,2,83082869,443700,0,EG,EGY,818,EGY,29.844461513124386,26.506619999749546,EGY,Egypt,Africa,Africa,Africa,North Africa,Northern Africa,North Africa,North Africa,ALM,Middle East and North Africa (MEA),North Africa/Middle East,22,North Africa,other,other,other
1,1,Admin-0 countries,Eritrea,ERI,0,2,Sovereign country,Eritrea,ERI,0,Eritrea,ERI,0,Eritrea,ERI,Eritrea,Erit.,ER,State of Eritrea,NA,Eritrea,12,5647168,3945,0,ER,ERI,232,ERI,38.67817734221432,15.427275657917878,ERI,Eritrea,Africa,Africa,Africa,Eastern Africa,Eastern Africa,Sub-Sarahan Africa,South+E Africa,ALM,Sub-Saharan Africa (AFR),"Sub-Saharan Africa, East",24,Southern and East Africa,LDC,other,other
1,1,Admin-0 countries,Spain,ESP,0,2,Sovereign country,Spain,ESP,0,Spain,ESP,0,Spain,ESP,Spain,Sp.,E,Kingdom of Spain,NA,Spain,5,40525002,1403000,0,ES,ESP,724,ESP,-3.617020602387373,40.34865610622673,ESP,Spain,Europe,Eurasia,Europe,Western Europe,Western Europe,Europe,Europe,OECD90,Western Europe (WEU),"Europe, Western",25,Europe,other,other,other
1,1,Admin-0 countries,Estonia,EST,0,2,Sovereign country,Estonia,EST,0,Estonia,EST,0,Estonia,EST,Estonia,Est.,EST,Republic of Estonia,NA,Estonia,10,1299371,27410,0,EE,EST,233,EST,25.824728375319907,58.64369524070696,EST,Estonia,Europe,Eurasia,Europe,Central Europe,Central Europe,Europe,Europe,REF,Newly Independent States of FSU (FSU),"Europe, Eastern",25,Europe,other,other,other
1,1,Admin-0 countries,Ethiopia,ETH,0,2,Sovereign country,Ethiopia,ETH,0,Ethiopia,ETH,0,Ethiopia,ETH,Ethiopia,Eth.,ET,Federal Democratic Republic of Ethiopia,NA,Ethiopia,13,85237338,68770,0,ET,ETH,231,ETH,39.551255792937795,8.653999188132628,ETH,Ethiopia,Africa,Africa,Africa,Eastern Africa,Eastern Africa,Sub-Sarahan Africa,South+E Africa,ALM,Sub-Saharan Africa (AFR),"Sub-Saharan Africa, East",24,Southern and East Africa,LDC,other,LLDC
1,1,Admin-0 countries,Finland,FI1,0,2,Country,Finland,FIN,0,Finland,FIN,0,Finland,FIN,Finland,Fin.,FIN,Republic of Finland,NA,Finland,6,5250275,193500,0,FI,FIN,246,FIN,26.211764697394543,64.50409391856743,FIN,Finland,Europe,Eurasia,Europe,Western Europe,Western Europe,Europe,Europe,OECD90,Western Europe (WEU),"Europe, Western",25,Europe,other,other,other
1,1,Admin-0 countries,Fiji,FJI,0,2,Sovereign country,Fiji,FJI,0,Fiji,FJI,0,Fiji,FJI,Fiji,Fiji,FJ,Republic of the Fiji Islands,NA,Fiji,2,944720,3579,0,FJ,FJI,242,FJI,177.99707018336375,-17.830935892544773,FJI,Fiji,Australia,Australia,Asia and the Pacific,South Pacific,Oceania,Oceania,Australasia,ASIA,Other Pacific Asia (PAS),Oceania,29,Rest of Australasia,other,SID,other
1,1,Admin-0 countries,United Kingdom,GB1,1,2,Dependency,Falkland Islands,FLK,0,Falkland Islands,FLK,0,Falkland Islands,FLK,Falkland Is.,Flk. Is.,FK,Falkland Islands (Islas Malvinas),U.K.,Falkland Islands,3,3140,105.1,0,FK,FLK,238,FLK,-59.420972793110195,-51.71322176551183,FLK,Falkland Islands,South America,South America,Latin America and the Caribbean,South America,Rest South America,Rest of South Am,South America,ALM,Latin America and the Caribbean (LAM),"Latin America, Southern",26,South America,other,other,other
1,1,Admin-0 countries,France,FR1,0,2,Country,France,FRA,0,France,FRA,0,France,FRA,France,Fr.,F,French Republic,NA,France,11,64057792,2128000,0,FR,FRA,250,FRA,2.3390886460293543,46.606463372863175,FRA,France,Europe,Eurasia,Europe,Western Europe,Western Europe,Europe,Europe,OECD90,Western Europe (WEU),"Europe, Western",14,France,other,other,other
1,1,Admin-0 countries,Gabon,GAB,0,2,Sovereign country,Gabon,GAB,0,Gabon,GAB,0,Gabon,GAB,Gabon,Gabon,GA,Gabonese Republic,NA,Gabon,5,1514993,21110,0,GA,GAB,266,GAB,11.687751174902045,-0.6470481398040286,GAB,Gabon,Africa,Africa,Africa,Central Africa,Western Africa,Sub-Sarahan Africa,West Africa,ALM,Sub-Saharan Africa (AFR),"Sub-Saharan Africa, Central",23,West Africa,other,other,other
1,1,Admin-0 countries,United Kingdom,GB1,0,2,Country,United Kingdom,GBR,0,United Kingdom,GBR,0,United Kingdom,GBR,United Kingdom,U.K.,GB,United Kingdom of Great Britain and Northern Ireland,NA,United Kingdom,3,61113205,2226000,0,GB,GBR,826,GBR,-2.657992979385631,53.88335871484817,GBR,United Kingdom,Europe,Eurasia,Europe,Western Europe,Western Europe,Europe,Europe,OECD90,Western Europe (WEU),"Europe, Western",13,UK,other,other,other
1,1,Admin-0 countries,Georgia,GEO,0,2,Sovereign country,Georgia,GEO,0,Georgia,GEO,0,Georgia,GEO,Georgia,Geo.,GE,NA,NA,Georgia,2,4615807,21510,0,GE,GEO,268,GEO,43.48154041978167,42.16201869983145,GEO,Georgia,Europe,Eurasia,Europe,Eastern Europe,Russia+,FSU,Europe,REF,Newly Independent States of FSU (FSU),"Asia, Central",25,Europe,other,other,other
1,1,Admin-0 countries,Ghana,GHA,0,2,Sovereign country,Ghana,GHA,0,Ghana,GHA,0,Ghana,GHA,Ghana,Ghana,GH,Republic of Ghana,NA,Ghana,4,23832495,34200,0,GH,GHA,288,GHA,-1.2369685557063999,7.928651813099651,GHA,Ghana,Africa,Africa,Africa,Western Africa,Western Africa,Sub-Sarahan Africa,West Africa,ALM,Sub-Saharan Africa (AFR),"Sub-Saharan Africa, West",23,West Africa,other,other,other
1,1,Admin-0 countries,Guinea,GIN,0,2,Sovereign country,Guinea,GIN,0,Guinea,GIN,0,Guinea,GIN,Guinea,Gin.,GN,Republic of Guinea,NA,Guinea,2,10057975,10600,0,GN,GIN,324,GIN,-11.060853741185452,10.448272877271346,GIN,Guinea,Africa,Africa,Africa,Western Africa,Western Africa,Sub-Sarahan Africa,West Africa,ALM,Sub-Saharan Africa (AFR),"Sub-Saharan Africa, West",23,West Africa,LDC,other,other
1,1,Admin-0 countries,Gambia,GMB,0,2,Sovereign country,Gambia,GMB,0,Gambia,GMB,0,Gambia,GMB,Gambia,Gambia,GM,Republic of the Gambia,NA,Gambia,8,1782893,2272,0,GM,GMB,270,GMB,-15.431872807730835,13.47533435870166,GMB,Gambia,Africa,Africa,Africa,Western Africa,Western Africa,Sub-Sarahan Africa,West Africa,ALM,Sub-Saharan Africa (AFR),"Sub-Saharan Africa, West",23,West Africa,LDC,other,other
1,1,Admin-0 countries,Guinea Bissau,GNB,0,2,Sovereign country,Guinea Bissau,GNB,0,Guinea Bissau,GNB,0,Guinea Bissau,GNB,Guinea Bissau,GnB.,GW,Republic of Guinea Bissau,NA,Guinea Bissau (Guinea-Bissau),4,1533964,904.2,0,GW,GNB,624,GNB,-15.11062375166788,12.022704382325683,GNB,Guinea Bissau,Africa,Africa,Africa,Western Africa,Western Africa,Sub-Sarahan Africa,West Africa,ALM,Sub-Saharan Africa (AFR),"Sub-Saharan Africa, West",23,West Africa,LDC,SID,other
1,1,Admin-0 countries,Equatorial Guinea,GNQ,0,2,Sovereign country,Equatorial Guinea,GNQ,0,Equatorial Guinea,GNQ,0,Equatorial Guinea,GNQ,Eq. Guinea,Eq. G.,GQ,Republic of Equatorial Guinea,NA,Equatorial Guinea,8,633441,22950,0,GQ,GNQ,226,GNQ,10.366031325064029,1.6458643199600753,GNQ,Equatorial Guinea,Africa,Africa,Africa,Central Africa,Western Africa,Sub-Sarahan Africa,West Africa,ALM,Sub-Saharan Africa (AFR),"Sub-Saharan Africa, Central",23,West Africa,LDC,other,other
1,1,Admin-0 countries,Greece,GRC,0,2,Sovereign country,Greece,GRC,0,Greece,GRC,0,Greece,GRC,Greece,Greece,GR,Hellenic Republic,NA,Greece,9,10737428,343000,0,GR,GRC,300,GRC,22.563888195788813,39.341746582927186,GRC,Greece,Europe,Eurasia,Europe,Western Europe,Western Europe,Europe,Europe,OECD90,Western Europe (WEU),"Europe, Western",25,Europe,other,other,other
1,1,Admin-0 countries,Denmark,DN1,1,2,Country,Greenland,GRL,0,Greenland,GRL,0,Greenland,GRL,Greenland,Grlnd.,GL,NA,Den.,Greenland,12,57600,1100,0,GL,GRL,304,GRL,-41.50018111492097,74.77048769398985,GRL,Greenland,Europe,Eurasia,Europe,Polar,Greenland,Europe,Europe,OECD90,Western Europe (WEU),"Europe, Western",25,Europe,other,other,other
1,1,Admin-0 countries,Guatemala,GTM,0,2,Sovereign country,Guatemala,GTM,0,Guatemala,GTM,0,Guatemala,GTM,Guatemala,Guat.,GT,Republic of Guatemala,NA,Guatemala,6,13276517,68580,0,GT,GTM,320,GTM,-90.36945836053151,15.69936061202691,GTM,Guatemala,South America,South America,Latin America and the Caribbean,Meso-America,Rest Central America,Rest of Central Am,Central America,ALM,Latin America and the Caribbean (LAM),"Latin America, Central",27,Central America,other,other,other
1,1,Admin-0 countries,Guyana,GUY,0,2,Sovereign country,Guyana,GUY,0,Guyana,GUY,0,Guyana,GUY,Guyana,Guy.,GY,Cooperative Republic of Guyana,NA,Guyana,8,772298,2966,0,GY,GUY,328,GUY,-58.97120310856249,4.790225375174757,GUY,Guyana,South America,South America,Latin America and the Caribbean,South America,Rest South America,Rest of South Am,South America,ALM,Latin America and the Caribbean (LAM),Caribbean,26,South America,other,SID,other
1,1,Admin-0 countries,Honduras,HND,0,2,Sovereign country,Honduras,HND,0,Honduras,HND,0,Honduras,HND,Honduras,Hond.,HN,Republic of Honduras,NA,Honduras,5,7792854,33720,0,HN,HND,340,HND,-86.58996383801546,14.822947081652941,HND,Honduras,South America,South America,Latin America and the Caribbean,Meso-America,Rest Central America,Rest of Central Am,Central America,ALM,Latin America and the Caribbean (LAM),"Latin America, Central",27,Central America,other,other,other
1,1,Admin-0 countries,Croatia,HRV,0,2,Sovereign country,Croatia,HRV,0,Croatia,HRV,0,Croatia,HRV,Croatia,Cro.,HR,Republic of Croatia,NA,Croatia,1,4489409,82390,0,HR,HRV,191,HRV,16.566191106662153,45.016234367971094,HRV,Croatia,Europe,Eurasia,Europe,Central Europe,Central Europe,Europe,Europe,REF,Central and Eastern Europe (EEU),"Europe, Central",25,Europe,other,other,other
1,1,Admin-0 countries,Haiti,HTI,0,2,Sovereign country,Haiti,HTI,0,Haiti,HTI,0,Haiti,HTI,Haiti,Haiti,HT,Republic of Haiti,NA,Haiti,2,9035536,11500,0,HT,HTI,332,HTI,-72.65801330535575,18.90070069184333,HTI,Haiti,South America,South America,Latin America and the Caribbean,Caribbean,Rest Central America,Rest of Central Am,Caribbean,ALM,Latin America and the Caribbean (LAM),Caribbean,28,Caribbean,LDC,SID,other
1,1,Admin-0 countries,Hungary,HUN,0,2,Sovereign country,Hungary,HUN,0,Hungary,HUN,0,Hungary,HUN,Hungary,Hun.,HU,Republic of Hungary,NA,Hungary,5,9905596,196600,0,HU,HUN,348,HUN,19.357628627745925,47.199951171954254,HUN,Hungary,Europe,Eurasia,Europe,Central Europe,Central Europe,Europe,Europe,REF,Central and Eastern Europe (EEU),"Europe, Central",25,Europe,other,other,other
1,1,Admin-0 countries,Indonesia,IDN,0,2,Sovereign country,Indonesia,IDN,0,Indonesia,IDN,0,Indonesia,IDN,Indonesia,Indo.,INDO,Republic of Indonesia,NA,Indonesia,11,240271522,914600,0,ID,IDN,360,IDN,114.02268353252535,-0.25430155722214104,IDN,Indonesia,Asia,Eurasia,Asia and the Pacific,Southeast Asia,Indonesia+,South East Asia,East Asia,ASIA,Other Pacific Asia (PAS),"Asia, Southeast",11,Indonesia,other,other,other
1,1,Admin-0 countries,India,IND,0,2,Sovereign country,India,IND,0,India,IND,0,India,IND,India,India,IND,Republic of India,NA,India,2,1166079217,3297000,0,IN,IND,356,IND,79.59370376325379,22.925006407408496,IND,India,Asia,Eurasia,Asia and the Pacific,South Asia,India+,India,South Asia,ASIA,South Asia (SAS),"Asia, South",6,India,other,other,other
1,1,Admin-0 countries,Ireland,IRL,0,2,Sovereign country,Ireland,IRL,0,Ireland,IRL,0,Ireland,IRL,Ireland,Ire.,IRL,NA,NA,Ireland,2,4203200,188400,0,IE,IRL,372,IRL,-8.010236544877014,53.18059120995005,IRL,Ireland,Europe,Eurasia,Europe,Western Europe,Western Europe,Europe,Europe,OECD90,Western Europe (WEU),"Europe, Western",25,Europe,other,other,other
1,1,Admin-0 countries,Iran,IRN,0,2,Sovereign country,Iran,IRN,0,Iran,IRN,0,Iran,IRN,Iran,Iran,IRN,Islamic Republic of Iran,NA,Iran,13,66429284,841700,0,IR,IRN,364,IRN,54.28545149689145,32.518917317625416,IRN,Iran,Asia,Eurasia,Asia and the Pacific,South Asia,Middle East,Middle East,West Asia,ALM,Middle East and North Africa (MEA),North Africa/Middle East,30,Middle East,other,other,other
1,1,Admin-0 countries,Iraq,IRQ,0,2,Sovereign country,Iraq,IRQ,0,Iraq,IRQ,0,Iraq,IRQ,Iraq,Iraq,IRQ,Republic of Iraq,NA,Iraq,1,28945657,103900,0,IQ,IRQ,368,IRQ,43.75691141871339,33.03682234103673,IRQ,Iraq,Asia,Eurasia,West Asia,Mashriq,Middle East,Middle East,West Asia,ALM,Middle East and North Africa (MEA),North Africa/Middle East,30,Middle East,other,other,other
1,1,Admin-0 countries,Iceland,ISL,0,2,Sovereign country,Iceland,ISL,0,Iceland,ISL,0,Iceland,ISL,Iceland,Iceland,IS,Republic of Iceland,NA,Iceland,9,306694,12710,0,IS,ISL,352,ISL,-18.76102877083177,65.07427633529106,ISL,Iceland,Europe,Eurasia,Europe,Western Europe,Western Europe,Europe,Europe,OECD90,Western Europe (WEU),"Europe, Western",25,Europe,other,other,other
1,1,Admin-0 countries,Israel,ISR,0,2,Sovereign country,Israel,ISR,0,Israel,ISR,0,Israel,ISR,Israel,Isr.,IS,State of Israel,NA,Israel,9,7233701,201400,0,IL,ISR,376,ISR,35.00385004873621,31.484917814965378,ISR,Israel,Europe,Eurasia,Europe,Western Europe,Middle East,Europe,Europe,ALM,Middle East and North Africa (MEA),"Europe, Western",25,Europe,other,other,other
1,1,Admin-0 countries,Italy,ITA,0,2,Sovereign country,Italy,ITA,0,Italy,ITA,0,Italy,ITA,Italy,Italy,I,Italian Republic,NA,Italy,7,58126212,1823000,0,IT,ITA,380,ITA,12.219476487398472,43.47247610758603,ITA,Italy,Europe,Eurasia,Europe,Western Europe,Western Europe,Europe,Europe,OECD90,Western Europe (WEU),"Europe, Western",15,Italy,other,other,other
1,1,Admin-0 countries,Jamaica,JAM,0,2,Sovereign country,Jamaica,JAM,0,Jamaica,JAM,0,Jamaica,JAM,Jamaica,Jam.,J,NA,NA,Jamaica,10,2825928,20910,0,JM,JAM,388,JAM,-77.32425480164892,18.137636127868436,JAM,Jamaica,South America,South America,Latin America and the Caribbean,Caribbean,Rest Central America,Rest of Central Am,Caribbean,ALM,Latin America and the Caribbean (LAM),Caribbean,28,Caribbean,other,SID,other
1,1,Admin-0 countries,Jordan,JOR,0,2,Sovereign country,Jordan,JOR,0,Jordan,JOR,0,Jordan,JOR,Jordan,Jord.,J,Hashemite Kingdom of Jordan,NA,Jordan,4,6342948,31610,0,JO,JOR,400,JOR,36.7794549063252,31.24549058474842,JOR,Jordan,Asia,Eurasia,West Asia,Mashriq,Middle East,Middle East,West Asia,ALM,Middle East and North Africa (MEA),North Africa/Middle East,30,Middle East,other,other,other
1,1,Admin-0 countries,Japan,JPN,0,2,Sovereign country,Japan,JPN,0,Japan,JPN,0,Japan,JPN,Japan,Japan,J,NA,NA,Japan,4,127078679,4329000,0,JP,JPN,392,JPN,136.8819473159836,36.01907536594398,JPN,Japan,Asia,Eurasia,Asia and the Pacific,NW Pacific and East Asia,Japan,Japan,East Asia,OECD90,Pacific OECD (PAO),"Asia Pacific, High Income",4,Japan,other,other,other
1,1,Admin-0 countries,Kazakhstan,KAZ,0,2,Sovereign country,Kazakhstan,KAZ,0,Kazakhstan,KAZ,0,Kazakhstan,KAZ,Kazakhstan,Kaz.,KZ,Republic of Kazakhstan,NA,Kazakhstan,1,15399437,175800,0,KZ,KAZ,398,KAZ,67.28460860746561,48.191662092495946,KAZ,Kazakhstan,Asia,Eurasia,Asia and the Pacific,Central Asia,Asia-Stan,FSU,Central Asia,REF,Newly Independent States of FSU (FSU),"Asia, Central",21,Rest of Central Asia,other,other,LLDC
1,1,Admin-0 countries,Kenya,KEN,0,2,Sovereign country,Kenya,KEN,0,Kenya,KEN,0,Kenya,KEN,Kenya,Ken.,KE,Republic of Kenya,NA,Kenya,3,39002772,61510,0,KE,KEN,404,KEN,37.7915552866614,0.5959662521769503,KEN,Kenya,Africa,Africa,Africa,Eastern Africa,Eastern Africa,Sub-Sarahan Africa,South+E Africa,ALM,Sub-Saharan Africa (AFR),"Sub-Saharan Africa, East",24,Southern and East Africa,other,other,other
1,1,Admin-0 countries,Kyrgyzstan,KGZ,0,2,Sovereign country,Kyrgyzstan,KGZ,0,Kyrgyzstan,KGZ,0,Kyrgyzstan,KGZ,Kyrgyzstan,Kgz.,KG,Kyrgyz Republic,NA,Kyrgyzstan,6,5431747,11610,0,KG,KGZ,417,KGZ,74.62040481092558,41.50689371318262,KGZ,Kyrgyzstan,Asia,Eurasia,Asia and the Pacific,Central Asia,Asia-Stan,FSU,Central Asia,REF,Newly Independent States of FSU (FSU),"Asia, Central",21,Rest of Central Asia,other,other,LLDC
1,1,Admin-0 countries,Cambodia,KHM,0,2,Sovereign country,Cambodia,KHM,0,Cambodia,KHM,0,Cambodia,KHM,Cambodia,Camb.,KH,Kingdom of Cambodia,NA,Cambodia,5,14494293,27940,0,KH,KHM,116,KHM,104.87608532525195,12.684728629393506,KHM,Cambodia,Asia,Eurasia,Asia and the Pacific,Southeast Asia,Southeastern Asia,South East Asia,East Asia,ASIA,Centrally planned Asia and China (CPA),"Asia, Southeast",20,Rest of East Asia,LDC,other,other
1,1,Admin-0 countries,South Korea,KOR,0,2,Sovereign country,South Korea,KOR,0,South Korea,KOR,0,South Korea,KOR,S. Korea,S.Kor.,KR,Republic of Korea,NA,"Korea, South",5,48508972,1335000,0,KR,KOR,410,KOR,127.8213171283307,36.42759860415487,KOR,South Korea,Asia,Eurasia,Asia and the Pacific,NW Pacific and East Asia,Korea,China,East Asia,ASIA,Other Pacific Asia (PAS),"Asia Pacific, High Income",12,South Korea,other,other,other
1,1,Admin-0 countries,Kosovo,KOS,0,2,Sovereign country,Kosovo,KOS,0,Kosovo,KOS,0,Kosovo,KOS,Kosovo,Kos.,KO,NA,NA,Kosovo,11,1804838,5352,0,-99,KOS,-99,KOS,20.895352481197897,42.57936482582592,KOS,Kosovo,Europe,Eurasia,Europe,Central Europe,Central Europe,Europe,Europe,REF,Central and Eastern Europe (EEU),"Europe, Central",25,Europe,other,other,other
1,1,Admin-0 countries,Kuwait,KWT,0,2,Sovereign country,Kuwait,KWT,0,Kuwait,KWT,0,Kuwait,KWT,Kuwait,Kwt.,KW,State of Kuwait,NA,Kuwait,2,2691158,149100,0,KW,KWT,414,KWT,47.600098887626416,29.307266634033564,KWT,Kuwait,Asia,Eurasia,West Asia,Mashriq,Middle East,Middle East,West Asia,ALM,Middle East and North Africa (MEA),North Africa/Middle East,30,Middle East,other,other,other
1,1,Admin-0 countries,Laos,LAO,0,2,Sovereign country,Laos,LAO,0,Laos,LAO,0,Laos,LAO,Laos,Laos,LA,Lao People's Democratic Republic,NA,Laos,9,6834942,13980,0,LA,LAO,418,LAO,103.75025989504465,18.44497808903609,LAO,Laos,Asia,Eurasia,Asia and the Pacific,Southeast Asia,Southeastern Asia,South East Asia,East Asia,ASIA,Centrally planned Asia and China (CPA),"Asia, Southeast",20,Rest of East Asia,LDC,other,LLDC
1,1,Admin-0 countries,Lebanon,LBN,0,2,Sovereign country,Lebanon,LBN,0,Lebanon,LBN,0,Lebanon,LBN,Lebanon,Leb.,LB,Lebanese Republic,NA,Lebanon,12,4017095,44060,0,LB,LBN,422,LBN,35.870986320016435,33.91182720781994,LBN,Lebanon,Asia,Eurasia,West Asia,Mashriq,Middle East,Middle East,West Asia,ALM,Middle East and North Africa (MEA),North Africa/Middle East,30,Middle East,other,other,other
1,1,Admin-0 countries,Liberia,LBR,0,2,Sovereign country,Liberia,LBR,0,Liberia,LBR,0,Liberia,LBR,Liberia,Liberia,LR,Republic of Liberia,NA,Liberia,9,3441790,1526,0,LR,LBR,430,LBR,-9.41083615437112,6.431619862252996,LBR,Liberia,Africa,Africa,Africa,Western Africa,Western Africa,Sub-Sarahan Africa,West Africa,ALM,Sub-Saharan Africa (AFR),"Sub-Saharan Africa, West",23,West Africa,LDC,other,other
1,1,Admin-0 countries,Libya,LBY,0,2,Sovereign country,Libya,LBY,0,Libya,LBY,0,Libya,LBY,Libya,Libya,LY,Great Socialist People's Libyan Arab Jamahiriya,NA,Libya,11,6310434,88830,0,LY,LBY,434,LBY,17.974352779160434,26.997460407020323,LBY,Libya,Africa,Africa,Africa,North Africa,Northern Africa,North Africa,North Africa,ALM,Middle East and North Africa (MEA),North Africa/Middle East,22,North Africa,other,other,other
1,1,Admin-0 countries,Sri Lanka,LKA,0,2,Sovereign country,Sri Lanka,LKA,0,Sri Lanka,LKA,0,Sri Lanka,LKA,Sri Lanka,Sri L.,LK,Democratic Socialist Republic of Sri Lanka,NA,Sri Lanka,9,21324791,91870,0,LK,LKA,144,LKA,80.66723574931648,7.7005344172481065,LKA,Sri Lanka,Asia,Eurasia,Asia and the Pacific,South Asia,India+,Rest of South Asia,South Asia,ASIA,South Asia (SAS),"Asia, Southeast",19,Rest of South Asia,other,other,other
1,1,Admin-0 countries,Lesotho,LSO,0,2,Sovereign country,Lesotho,LSO,0,Lesotho,LSO,0,Lesotho,LSO,Lesotho,Les.,LS,Republic of Lesotho,NA,Lesotho,8,2130819,3293,0,LS,LSO,426,LSO,28.170105295170497,-29.62529049369201,LSO,Lesotho,Africa,Africa,Africa,Southern Africa,Southern Africa,Sub-Sarahan Africa,South+E Africa,ALM,Sub-Saharan Africa (AFR),"Sub-Saharan Africa, Southern",24,Southern and East Africa,LDC,other,LLDC
1,1,Admin-0 countries,Lithuania,LTU,0,2,Sovereign country,Lithuania,LTU,0,Lithuania,LTU,0,Lithuania,LTU,Lithuania,Lith.,LT,Republic of Lithuania,NA,Lithuania,9,3555179,63330,0,LT,LTU,440,LTU,23.880640275843497,55.28431948476605,LTU,Lithuania,Europe,Eurasia,Europe,Central Europe,Central Europe,Europe,Europe,REF,Newly Independent States of FSU (FSU),"Europe, Eastern",25,Europe,other,other,other
1,1,Admin-0 countries,Luxembourg,LUX,0,2,Sovereign country,Luxembourg,LUX,0,Luxembourg,LUX,0,Luxembourg,LUX,Luxembourg,Lux.,L,Grand Duchy of Luxembourg,NA,Luxembourg,7,491775,39370,0,LU,LUX,442,LUX,5.965223432343995,49.76570507415101,LUX,Luxembourg,Europe,Eurasia,Europe,Western Europe,Western Europe,Europe,Europe,OECD90,Western Europe (WEU),"Europe, Western",25,Europe,other,other,other
1,1,Admin-0 countries,Latvia,LVA,0,2,Sovereign country,Latvia,LVA,0,Latvia,LVA,0,Latvia,LVA,Latvia,Lat.,LV,Republic of Latvia,NA,Latvia,13,2231503,38860,0,LV,LVA,428,LVA,24.833296149803456,56.807175134279284,LVA,Latvia,Europe,Eurasia,Europe,Central Europe,Central Europe,Europe,Europe,REF,Newly Independent States of FSU (FSU),"Europe, Eastern",25,Europe,other,other,other
1,1,Admin-0 countries,Morocco,MAR,0,2,Sovereign country,Morocco,MAR,0,Morocco,MAR,0,Morocco,MAR,Morocco,Mor.,MA,Kingdom of Morocco,NA,Morocco,9,34859364,136600,0,MA,MAR,504,MAR,-8.420479544549643,29.885394698302104,MAR,Morocco,Africa,Africa,Africa,North Africa,Northern Africa,North Africa,North Africa,ALM,Middle East and North Africa (MEA),North Africa/Middle East,22,North Africa,other,other,other
1,1,Admin-0 countries,Moldova,MDA,0,2,Sovereign country,Moldova,MDA,0,Moldova,MDA,0,Moldova,MDA,Moldova,Mda.,MD,Republic of Moldova,NA,Moldova,12,4320748,10670,0,MD,MDA,498,MDA,28.410482790803297,47.20367642606756,MDA,Moldova,Europe,Eurasia,Europe,Eastern Europe,Ukraine+,FSU,Europe,REF,Newly Independent States of FSU (FSU),"Europe, Eastern",25,Europe,other,other,LLDC
1,1,Admin-0 countries,Madagascar,MDG,0,2,Sovereign country,Madagascar,MDG,0,Madagascar,MDG,0,Madagascar,MDG,Madagascar,Mad.,MG,Republic of Madagascar,NA,Madagascar,3,20653556,20130,0,MG,MDG,450,MDG,46.6911709147164,-19.356114077828796,MDG,Madagascar,Africa,Africa,Africa,Western Indian Ocean,Eastern Africa,Sub-Sarahan Africa,South+E Africa,ALM,Sub-Saharan Africa (AFR),"Sub-Saharan Africa, East",24,Southern and East Africa,LDC,other,other
1,1,Admin-0 countries,Mexico,MEX,0,2,Sovereign country,Mexico,MEX,0,Mexico,MEX,0,Mexico,MEX,Mexico,Mex.,MX,United Mexican States,NA,Mexico,3,111211789,1563000,0,MX,MEX,484,MEX,-102.5763495239869,23.93537190224484,MEX,Mexico,South America,South America,Latin America and the Caribbean,Meso-America,Mexico,Mexico,Central America,ALM,Latin America and the Caribbean (LAM),"Latin America, Central",8,Mexico,other,other,other
1,1,Admin-0 countries,Macedonia,MKD,0,2,Sovereign country,Macedonia,MKD,0,Macedonia,MKD,0,Macedonia,MKD,Macedonia,Mkd.,MK,Republic of Macedonia,NA,"Macedonia, The former Yugoslav Republic of",3,2066718,18780,0,MK,MKD,807,MKD,21.697896816140066,41.60592893075937,MKD,Macedonia,Europe,Eurasia,Europe,Central Europe,Central Europe,Europe,Europe,REF,Central and Eastern Europe (EEU),"Europe, Central",25,Europe,other,other,LLDC
1,1,Admin-0 countries,Mali,MLI,0,2,Sovereign country,Mali,MLI,0,Mali,MLI,0,Mali,MLI,Mali,Mali,ML,Republic of Mali,NA,Mali,7,12666987,14590,0,ML,MLI,466,MLI,-3.54329433945334,17.2677720617007,MLI,Mali,Africa,Africa,Africa,Western Africa,Western Africa,Sub-Sarahan Africa,West Africa,ALM,Sub-Saharan Africa (AFR),"Sub-Saharan Africa, West",23,West Africa,LDC,other,LLDC
