Name	Cases	Cases_per_capitaTotal_Cases	Total_Cases_per_capita	Deaths	Deaths_per_capita	Total_Deaths	Total_Deaths_per_capita
Saint Kitts and Nevis	0.01	1.8e-07	0.142	2.71e-06	0.0	0.0	0.001	2e-08
Guatemala	0.575	3e-08	63.382	3.67e-06	0.003	0.0	0.38	2e-08
Jamaica	0.053	2e-08	10.988	3.74e-06	0.0	0.0	0.066	2e-08
Saint Vincent and the Grenadines	0.004	3e-08	0.405	3.67e-06	0.0	0.0	0.002	2e-08
Saint Lucia	0.006	3e-08	0.668	3.67e-06	0.0	0.0	0.004	2e-08
The Bahamas	0.017	4e-08	1.389	3.6e-06	0.0	0.0	0.008	2e-08
Panama	0.054	1e-08	15.692	3.76e-06	0.0	0.0	0.094	2e-08
Costa Rica	0.013	0.0	18.91	3.78e-06	0.0	0.0	0.113	2e-08
El Salvador	0.51	8e-08	22.113	3.44e-06	0.003	0.0	0.133	2e-08
Haiti	1.055	9e-08	37.424	3.36e-06	0.006	0.0	0.225	2e-08
Antigua and Barbuda	0.003	3e-08	0.357	3.7e-06	0.0	0.0	0.002	2e-08
Dominica	0.009	1.3e-07	0.226	3.16e-06	0.0	0.0	0.001	2e-08
Trinidad and Tobago	0.046	3e-08	5.107	3.67e-06	0.0	0.0	0.031	2e-08
Honduras	0.172	2e-08	35.896	3.74e-06	0.001	0.0	0.215	2e-08
Nicaragua	0.514	8e-08	22.267	3.44e-06	0.003	0.0	0.134	2e-08
Cuba	0.262	2e-08	42.247	3.73e-06	0.002	0.0	0.253	2e-08
Paraguay	0.054	1e-08	26.258	3.77e-06	0.0	0.0	0.158	2e-08
