Name	Cases	Cases_per_capita	Total_Cases	Total_Cases_per_capita	Deaths	Deaths_per_capita	Total_Deaths	Total_Deaths_per_capita
Saint Kitts and Nevis	0.001	1e-08	0.001	2e-08	0.0	0.0	0.0	0.0
Guatemala	976.335	5.661e-05	6364.715	0.00036902	5.858	3.4e-07	38.188	2.21e-06
Jamaica	28.626	9.75e-06	270.52	9.217e-05	0.172	6e-08	1.623	5.5e-07
Saint Vincent and the Grenadines	0.04	3.6e-07	0.26	2.36e-06	0.0	0.0	0.002	1e-08
Saint Lucia	0.109	6e-07	0.708	3.89e-06	0.001	0.0	0.004	2e-08
Dominican Republic	145.446	1.369e-05	6301.078	0.00059292	0.873	8e-08	37.806	3.56e-06
The Bahamas	0.457	1.19e-06	2.212	5.74e-06	0.003	1e-08	0.013	3e-08
Panama	57.258	1.371e-05	605.192	0.00014489	0.344	8e-08	3.631	8.7e-07
Costa Rica	69.57	1.392e-05	1167.114	0.00023345	0.417	8e-08	7.003	1.4e-06
El Salvador	85.634	1.334e-05	263.752	4.108e-05	0.514	8e-08	1.583	2.5e-07
Haiti	185.039	1.664e-05	534.558	4.806e-05	1.11	1e-07	3.207	2.9e-07
Mexico	13230.897	0.00010485	918224.219	0.00727648	79.385	6.3e-07	5509.345	4.366e-05
Antigua and Barbuda	0.031	3.2e-07	0.229	2.38e-06	0.0	0.0	0.001	1e-08
Dominica	0.003	4e-08	0.009	1.3e-07	0.0	0.0	0.0	0.0
Trinidad and Tobago	6.34	4.56e-06	41.329	2.974e-05	0.038	3e-08	0.248	1.8e-07
Honduras	305.497	3.186e-05	2886.945	0.00030111	1.833	1.9e-07	17.322	1.81e-06
Nicaragua	86.832	1.343e-05	267.443	4.136e-05	0.521	8e-08	1.605	2.5e-07
Cuba	432.586	3.815e-05	3610.224	0.00031841	2.596	2.3e-07	21.661	1.91e-06
Paraguay	146.742	2.11e-05	1982.024	0.00028493	0.88	1.3e-07	11.892	1.71e-06
