Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Confirmed_daily	Deaths_daily
Turkey	5	0	0	N/A	6e-08	0.0	25	10	6.25	3e-07	1.2e-07	7.5e-08	4	0
Italy	17660	1266	1439	N/A	0.00029223	2.095e-05	422000	194769.230769	126600	0.00698333333333	0.00322307692308	0.002095	NA	NA
Czech Republic	141	0	0	N/A	1.327e-05	0.0	705	282	176.25	6.635e-05	2.654e-05	1.65875e-05	47	0
Monaco	2	0	0	N/A	5.17e-05	0.0	10	4	2.5	0.0002585	0.0001034	6.4625e-05	0	0
Lithuania	6	0	0	N/A	2.15e-06	0.0	30	12	7.5	1.075e-05	4.3e-06	2.6875e-06	3	0
Luxembourg	34	0	0	N/A	5.595e-05	0.0	170	68	42.5	0.00027975	0.0001119	6.99375e-05	15	0
France	3670	79	12	N/A	5.479e-05	1.18e-06	26333.3333333	12153.8461538	7900	0.000393333333333	0.000181538461538	0.000118	1383	31
Andorra	1	0	0	N/A	1.299e-05	0.0	5	2	1.25	6.495e-05	2.598e-05	1.62375e-05	0	0
Georgia	25	0	0	N/A	6.7e-06	0.0	125	50	31.25	3.35e-05	1.34e-05	8.375e-06	1	0
Slovakia	32	0	0	N/A	5.87e-06	0.0	160	64	40	2.935e-05	1.174e-05	7.3375e-06	16	0
Ireland	90	1	0	N/A	1.854e-05	2.1e-07	333.333333333	153.846153846	100	7e-05	3.23076923077e-05	2.1e-05	47	0
Norway	996	0	1	N/A	0.00018742	0.0	4980	1992	1245	0.0009371	0.00037484	0.000234275	294	0
Israel	161	0	4	N/A	1.812e-05	0.0	805	322	201.25	9.06e-05	3.624e-05	2.265e-05	30	0
Belarus	27	0	3	N/A	2.85e-06	0.0	135	54	33.75	1.425e-05	5.7e-06	3.5625e-06	15	0
Iceland	134	0	1	N/A	0.00037899	0.0	670	268	167.5	0.00189495	0.00075798	0.0004737375	31	0
Slovenia	141	0	0	N/A	6.82e-05	0.0	705	282	176.25	0.000341	0.0001364	8.525e-05	52	0
Germany	3675	7	46	N/A	4.432e-05	8e-08	2333.33333333	1076.92307692	700	2.66666666667e-05	1.23076923077e-05	8e-06	1597	4
Bosnia and Herzegovina	13	0	0	N/A	3.91e-06	0.0	65	26	16.25	1.955e-05	7.82e-06	4.8875e-06	2	0
Armenia	8	0	0	N/A	2.71e-06	0.0	40	16	10	1.355e-05	5.42e-06	3.3875e-06	4	0
Denmark	804	0	1	N/A	0.00013868	0.0	4020	1608	1005	0.0006934	0.00027736	0.00017335	187	0
Belgium	559	3	1	N/A	4.894e-05	2.6e-07	1000	461.538461538	300	8.66666666667e-05	4e-05	2.6e-05	245	0
Spain	5232	133	193	N/A	0.00011198	2.85e-06	44333.3333333	20461.5384615	13300	0.00095	0.000438461538462	0.000285	2955	78
Ukraine	3	1	0	N/A	7e-08	2e-08	333.333333333	153.846153846	100	6.66666666667e-06	3.07692307692e-06	2e-06	2	1
Netherlands	804	10	0	N/A	4.666e-05	5.8e-07	3333.33333333	1538.46153846	1000	0.000193333333333	8.92307692308e-05	5.8e-05	301	5
San Marino	80	5	0	N/A	0.00236791	0.00014799	1666.66666667	769.230769231	500	0.04933	0.0227676923077	0.014799	11	2
Poland	68	2	0	N/A	1.79e-06	5e-08	666.666666667	307.692307692	200	1.66666666667e-05	7.69230769231e-06	5e-06	19	1
Finland	155	0	1	N/A	2.809e-05	0.0	775	310	193.75	0.00014045	5.618e-05	3.51125e-05	96	0
Macedonia	14	0	1	N/A	6.72e-06	0.0	70	28	17.5	3.36e-05	1.344e-05	8.4e-06	7	0
Moldova	6	0	0	N/A	1.69e-06	0.0	30	12	7.5	8.45e-06	3.38e-06	2.1125e-06	3	0
Sweden	814	1	1	N/A	7.994e-05	1e-07	333.333333333	153.846153846	100	3.33333333333e-05	1.53846153846e-05	1e-05	215	0
Latvia	17	0	1	N/A	8.82e-06	0.0	85	34	21.25	4.41e-05	1.764e-05	1.1025e-05	7	0
Croatia	32	0	1	N/A	7.83e-06	0.0	160	64	40	3.915e-05	1.566e-05	9.7875e-06	13	0
Malta	12	0	1	N/A	2.482e-05	0.0	60	24	15	0.0001241	4.964e-05	3.1025e-05	6	0
Vatican	1	0	0	N/A	0.00124844	0.0	5	2	1.25	0.0062422	0.00249688	0.00156055	0	0
Switzerland	1139	11	4	N/A	0.00013374	1.29e-06	3666.66666667	1692.30769231	1100	0.00043	0.000198461538462	0.000129	487	7
Russia	45	0	3	N/A	3.1e-07	0.0	225	90	56.25	1.55e-06	6.2e-07	3.875e-07	17	0
Bulgaria	23	1	0	N/A	3.27e-06	1.4e-07	333.333333333	153.846153846	100	4.66666666667e-05	2.15384615385e-05	1.4e-05	16	0
Romania	89	0	7	N/A	4.57e-06	0.0	445	178	111.25	2.285e-05	9.14e-06	5.7125e-06	40	0
Albania	33	1	0	N/A	1.151e-05	3.5e-07	333.333333333	153.846153846	100	0.000116666666667	5.38461538462e-05	3.5e-05	10	0
Portugal	112	0	1	N/A	1.089e-05	0.0	560	224	140	5.445e-05	2.178e-05	1.36125e-05	53	0
Estonia	79	0	0	N/A	5.981e-05	0.0	395	158	98.75	0.00029905	0.00011962	7.47625e-05	63	0
Liechtenstein	1	0	0	N/A	2.638e-05	0.0	5	2	1.25	0.0001319	5.276e-05	3.2975e-05	0	0
Azerbaijan	15	1	3	N/A	1.51e-06	1e-07	333.333333333	153.846153846	100	3.33333333333e-05	1.53846153846e-05	1e-05	4	1
United Kingdom	801	8	19	N/A	1.205e-05	1.2e-07	2666.66666667	1230.76923077	800	4e-05	1.84615384615e-05	1.2e-05	342	0
Austria	504	1	6	N/A	5.697e-05	1.1e-07	333.333333333	153.846153846	100	3.66666666667e-05	1.69230769231e-05	1.1e-05	202	0
Republic of Serbia	35	0	0	N/A	5.01e-06	0.0	175	70	43.75	2.505e-05	1.002e-05	6.2625e-06	16	0
Greece	190	1	0	N/A	1.771e-05	9e-08	333.333333333	153.846153846	100	3e-05	1.38461538462e-05	9e-06	91	0
Hungary	19	0	0	N/A	1.94e-06	0.0	95	38	23.75	9.7e-06	3.88e-06	2.425e-06	6	0
Cyprus	14	0	0	N/A	1.197e-05	0.0	70	28	17.5	5.985e-05	2.394e-05	1.49625e-05	8	0
New Zealand	5	0	0	N/A	1.02e-06	0.0	25	10	6.25	5.1e-06	2.04e-06	1.275e-06	0	0
Australia	200	3	23	N/A	8e-06	1.2e-07	1000	461.538461538	300	4e-05	1.84615384615e-05	1.2e-05	72	0
Sudan	1	1	0	N/A	2e-08	2e-08	333.333333333	153.846153846	100	6.66666666667e-06	3.07692307692e-06	2e-06	NA	NA
Algeria	26	2	8	N/A	6.2e-07	5e-08	666.666666667	307.692307692	200	1.66666666667e-05	7.69230769231e-06	5e-06	2	1
Ethiopia	1	0	0	N/A	1e-08	0.0	5	2	1.25	5e-08	2e-08	1.25e-08	NA	NA
Egypt	80	2	27	N/A	8.1e-07	2e-08	666.666666667	307.692307692	200	6.66666666667e-06	3.07692307692e-06	2e-06	13	1
Guinea	1	0	0	N/A	8e-08	0.0	5	2	1.25	4e-07	1.6e-07	1e-07	NA	NA
South Africa	24	0	0	N/A	4.2e-07	0.0	120	48	30	2.1e-06	8.4e-07	5.25e-07	7	0
Morocco	7	1	1	N/A	1.9e-07	3e-08	333.333333333	153.846153846	100	1e-05	4.61538461538e-06	3e-06	1	0
Democratic Republic of the Congo	2	0	0	N/A	2e-08	0.0	10	4	2.5	1e-07	4e-08	2.5e-08	1	0
Senegal	10	0	1	N/A	6.3e-07	0.0	50	20	12.5	3.15e-06	1.26e-06	7.875e-07	6	0
Togo	1	0	0	N/A	1.3e-07	0.0	5	2	1.25	6.5e-07	2.6e-07	1.625e-07	0	0
