Name	Confirmed	Deaths	Recovered	Active
Mackinac	0	0	0	0
Jackson	1	0	0	0
Baraga	0	0	0	0
Midland	5	0	0	0
Gogebic	0	0	0	0
Ingham	12	0	0	0
Barry	1	0	0	0
Newaygo	1	0	0	0
Saint Clair	7	0	0	0
Calhoun	3	0	0	0
Grand Traverse	1	0	0	0
Gladwin	1	0	0	0
Presque Isle	0	0	0	0
Allegan	1	0	0	0
Montmorency	0	0	0	0
Keweenaw	0	0	0	0
Branch	0	0	0	0
Dickinson	0	0	0	0
Ionia	0	0	0	0
Macomb	175	2	0	0
Crawford	0	0	0	0
Oscoda	0	0	0	0
Mecosta	0	0	0	0
Montcalm	1	0	0	0
Tuscola	1	0	0	0
Alger	0	0	0	0
Lenawee	0	0	0	0
Manistee	0	0	0	0
Gratiot	0	0	0	0
Van Buren	0	0	0	0
Ogemaw	0	0	0	0
Alpena	0	0	0	0
Roscommon	1	0	0	0
Lapeer	0	0	0	0
Delta	0	0	0	0
Kalkaska	0	0	0	0
Mason	0	0	0	0
Emmet	1	0	0	0
Wexford	1	0	0	0
Shiawassee	0	0	0	0
Wayne	638	8	0	0
Kalamazoo	3	0	0	0
Isabella	0	0	0	0
Houghton	0	0	0	0
Saginaw	2	0	0	0
Berrien	5	0	0	0
Cheboygan	0	0	0	0
Osceola	0	0	0	0
Hillsdale	0	0	0	0
Muskegon	1	0	0	0
Iron	0	0	0	0
Charlevoix	2	0	0	0
Ottawa	11	0	0	0
Bay	2	0	0	0
Luce	0	0	0	0
Antrim	0	0	0	0
Eaton	2	0	0	0
Cass	0	0	0	0
Oceana	0	0	0	0
Clinton	2	0	0	0
Benzie	0	0	0	0
Menominee	0	0	0	0
Iosco	0	0	0	0
Ontonagon	0	0	0	0
Oakland	329	4	0	0
Alcona	0	0	0	0
Sanilac	0	0	0	0
Clare	1	0	0	0
Schoolcraft	0	0	0	0
Arenac	0	0	0	0
Chippewa	1	0	0	0
Leelanau	1	0	0	0
Out of MI	4	0	0	0
Genesee	23	0	0	0
Livingston	9	0	0	0
Saint Joseph	0	0	0	0
Monroe	7	0	0	0
Washtenaw	42	0	0	0
Otsego	3	0	0	0
Lake	0	0	0	0
Marquette	0	0	0	0
Kent	28	1	0	0
Huron	0	0	0	0
Missaukee	0	0	0	0
