Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Confirmed_daily	Deaths_daily	Confirmed_change	Deaths_change
Addison	24	0	0	0	0.00064912	0.0	120	48	30	0.0032456	0.00129824	0.0008114	1	0	-83.3	0
Windham	16	0	0	0	0.00037422	0.0	80	32	20	0.0018711	0.00074844	0.000467775	5	0	100	0
Orleans	7	0	0	0	0.00026016	0.0	35	14	8.75	0.0013008	0.00052032	0.0003252	0	0	-100	0
Lamoille	13	0	0	0	0.00051383	0.0	65	26	16.25	0.00256915	0.00102766	0.0006422875	0	0	-100	0
Washington	15	0	0	0	0.000258	0.0	75	30	18.75	0.00129	0.000516	0.0003225	0	0	-100	0
Chittenden	164	4	0	0	0.00099652	2.431e-05	1333.33333333	615.384615385	400	0.00810333333333	0.00374	0.002431	12	0	-65.7	0
Unassigned	14	11	0	0	N/A	N/A	3666.66666667	1692.30769231	1100	N/A	N/A	N/A	3	3	-117.6	0
Bennington	18	0	0	0	0.00050518	0.0	90	36	22.5	0.0025259	0.00101036	0.000631475	0	0	-100	0
Orange	4	0	0	0	0.00013794	0.0	20	8	5	0.0006897	0.00027588	0.000172425	0	0	-100	0
Rutland	10	0	0	0	0.00017044	0.0	50	20	12.5	0.0008522	0.00034088	0.00021305	4	0	100	0
Caledonia	3	0	0	0	9.9e-05	0.0	15	6	3.75	0.000495	0.000198	0.00012375	1	0	100	0
Windsor	18	1	0	0	0.00032558	1.809e-05	333.333333333	153.846153846	100	0.00603	0.00278307692308	0.001809	0	0	100	0
Franklin	15	0	0	0	0.00030351	0.0	75	30	18.75	0.00151755	0.00060702	0.0003793875	2	0	-50	0
