Name	Predicted_New_Cases	Total_Predicted_New_Cases	Predicted_New_per_capita	Predicted_Total_per_capita
Pima	4.828	610.666	4.65e-06	0.0005877
Cochise	0.104	13.171	8.2e-07	0.0001039
Coconino	0.476	78.533	3.33e-06	0.00054974
Yavapai	0.503	66.152	2.17e-06	0.00028515
Greenlee	0.142	17.961	1.497e-05	0.001894
La Paz	0.031	4.19	1.48e-06	0.00019861
Graham	0.284	35.922	7.46e-06	0.00094352
Gila	0.0	0.0	0.0	0.0
Yuma	0.028	3.592	N/A	N/A
Unassigned	0.0	0.0	N/A	N/A
Navajo	0.0	3.275	0.0	2.965e-05
Mohave	0.311	41.902	1.49e-06	0.00019996
Santa Cruz	0.057	7.184	1.22e-06	0.00015446
Pinal	1.221	154.463	2.73e-06	0.00034545
Maricopa	13.168	1665.562	2.99e-06	0.00037761
Apache	0.435	55.08	6.06e-06	0.00076693
