Name	Predicted_New_Cases	Total_Predicted_New_Cases
Missouri	214.352	7890.005
Puerto Rico	89.504	2413.095
New York	4857.316	214096.591
Alaska	7.341	262.481
Illinois	1959.452	55487.763
South Carolina	235.671	7710.909
Virginia	466.105	13198.569
Washington	346.375	13811.734
Vermont	14.744	709.17
South Dakota	21.358	762.739
Georgia	845.999	26469.738
Connecticut	599.297	20373.972
Alabama	51.411	2610.884
Guam	2.791	126.1
Northern Mariana Islands	0.0	0.0
New Hampshire	43.685	1555.895
Oklahoma	114.585	4084.773
Colorado	161.768	7483.7
Ohio	342.476	12394.581
Maine	20.238	884.976
Mississippi	56.629	2568.332
Utah	86.691	3504.146
Delaware	124.908	3424.571
Indiana	802.665	22864.004
Arkansas	24.844	1151.547
Iowa	96.59	3162.333
New Jersey	5852.812	174043.312
Wisconsin	93.57	4086.583
United States Virgin Islands	18.401	544.989
Michigan	2373.394	70626.142
Arizona	208.317	7535.839
Massachusetts	1245.376	43013.005
Grand Princess	0.0	0.0
Diamond Princess	0.0	0.0
North Carolina	130.237	5644.714
Montana	10.359	464.525
District of Columbia	93.454	3353.434
Wyoming	8.686	380.396
Minnesota	32.818	1439.049
Florida	3375.477	86247.101
Kentucky	28.94	1331.152
North Dakota	9.191	394.274
Louisiana	2048.416	61515.434
Maryland	554.333	16572.493
Texas	413.482	16704.506
Hawaii	202.949	3769.781
Virgin Islands	1.665	67.992
Rhode Island	230.686	5987.721
Kansas	83.32	2759.439
Pennsylvania	2109.198	60186.62
Nebraska	511.525	7182.272
Tennessee	215.304	8680.637
Idaho	152.69	4680.001
Oregon	38.012	1607.718
Nevada	156.787	5344.82
California	1728.26	53696.452
West Virginia	34.828	1133.5
New Mexico	74.804	2368.504
