Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Confirmed_daily	Deaths_daily	Confirmed_change	Deaths_change	Tests	Tests_per_capita
Mississippi	50	1	0	N/A	1.68e-05	3.4e-07	333.333333333	153.846153846	100	0.000113333333333	5.23076923077e-05	3.4e-05	16	1	23.1	100	NA	NA
Iowa	44	0	0	N/A	1.395e-05	0.0	220	88	55	6.975e-05	2.79e-05	1.74375e-05	15	0	150	100	NA	NA
Grand Princess	22	0	0	N/A	N/A	N/A	110	44	27.5	N/A	N/A	N/A	1	0	100	100	NA	NA
Oklahoma	44	1	0	N/A	1.112e-05	2.5e-07	333.333333333	153.846153846	100	8.33333333333e-05	3.84615384615e-05	2.5e-05	25	1	100	100	NA	NA
Missouri	31	1	0	N/A	5.05e-06	1.6e-07	333.333333333	153.846153846	100	5.33333333333e-05	2.46153846154e-05	1.6e-05	13	1	85.7	100	NA	NA
Minnesota	89	0	0	N/A	1.578e-05	0.0	445	178	111.25	7.89e-05	3.156e-05	1.9725e-05	12	0	-29.4	100	NA	NA
Alaska	9	0	0	N/A	1.23e-05	0.0	45	18	11.25	6.15e-05	2.46e-05	1.5375e-05	3	0	0	100	NA	NA
Illinois	422	4	0	N/A	3.33e-05	3.2e-07	1333.33333333	615.384615385	400	0.000106666666667	4.92307692308e-05	3.2e-05	260	3	25900	100	NA	NA
Diamond Princess	47	0	0	N/A	N/A	N/A	235	94	58.75	N/A	N/A	N/A	0	0	100	100	NA	NA
Arkansas	62	0	0	N/A	2.054e-05	0.0	310	124	77.5	0.0001027	4.108e-05	2.5675e-05	29	0	163.6	100	NA	NA
New Mexico	35	0	0	N/A	1.669e-05	0.0	175	70	43.75	8.345e-05	3.338e-05	2.08625e-05	12	0	100	100	NA	NA
Indiana	60	2	0	N/A	8.91e-06	3e-07	666.666666667	307.692307692	200	0.0001	4.61538461538e-05	3e-05	21	0	133.3	100	NA	NA
Maryland	107	1	0	N/A	1.77e-05	1.7e-07	333.333333333	153.846153846	100	5.66666666667e-05	2.61538461538e-05	1.7e-05	22	1	-12	100	NA	NA
Louisiana	392	10	0	N/A	8.432e-05	2.15e-06	3333.33333333	1538.46153846	1000	0.000716666666667	0.000330769230769	0.000215	135	6	121.3	100	NA	NA
Texas	260	5	0	N/A	8.97e-06	1.7e-07	1666.66666667	769.230769231	500	5.66666666667e-05	2.61538461538e-05	1.7e-05	87	2	38.1	0	NA	NA
Wyoming	18	0	0	N/A	3.11e-05	0.0	90	36	22.5	0.0001555	6.22e-05	3.8875e-05	3	0	-25	100	NA	NA
