Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Confirmed_daily	Deaths_daily	Confirmed_change	Deaths_change
Mississippi	80	1	0	N/A	2.688e-05	3.4e-07	333.333333333	153.846153846	100	0.000113333333333	5.23076923077e-05	3.4e-05	30	0	87.5	-100
Iowa	45	0	0	N/A	1.426e-05	0.0	225	90	56.25	7.13e-05	2.852e-05	1.7825e-05	1	0	-93.3	100
Grand Princess	23	0	0	N/A	N/A	N/A	115	46	28.75	N/A	N/A	N/A	1	0	0	100
Oklahoma	49	1	0	N/A	1.238e-05	2.5e-07	333.333333333	153.846153846	100	8.33333333333e-05	3.84615384615e-05	2.5e-05	5	0	-80	-100
Missouri	53	2	0	N/A	8.64e-06	3.3e-07	666.666666667	307.692307692	200	0.00011	5.07692307692e-05	3.3e-05	22	1	69.2	0
Minnesota	115	0	0	N/A	2.039e-05	0.0	575	230	143.75	0.00010195	4.078e-05	2.54875e-05	26	0	116.7	100
Alaska	12	0	0	N/A	1.64e-05	0.0	60	24	15	8.2e-05	3.28e-05	2.05e-05	3	0	0	100
Illinois	585	5	0	N/A	4.617e-05	3.9e-07	1666.66666667	769.230769231	500	0.00013	6e-05	3.9e-05	163	1	-37.3	-66.7
Diamond Princess	49	0	0	N/A	N/A	N/A	245	98	61.25	N/A	N/A	N/A	2	0	100	100
Arkansas	96	0	0	N/A	3.181e-05	0.0	480	192	120	0.00015905	6.362e-05	3.97625e-05	34	0	17.2	100
New Mexico	43	0	0	N/A	2.051e-05	0.0	215	86	53.75	0.00010255	4.102e-05	2.56375e-05	8	0	-33.3	100
Indiana	86	2	0	N/A	1.277e-05	3e-07	666.666666667	307.692307692	200	0.0001	4.61538461538e-05	3e-05	26	0	23.8	100
Maryland	149	1	0	N/A	2.465e-05	1.7e-07	333.333333333	153.846153846	100	5.66666666667e-05	2.61538461538e-05	1.7e-05	42	0	90.9	-100
Louisiana	538	14	0	N/A	0.00011573	3.01e-06	4666.66666667	2153.84615385	1400	0.00100333333333	0.000463076923077	0.000301	146	4	8.1	-33.3
Texas	394	5	0	N/A	1.359e-05	1.7e-07	1666.66666667	769.230769231	500	5.66666666667e-05	2.61538461538e-05	1.7e-05	134	0	54	-100
Wyoming	19	0	0	N/A	3.283e-05	0.0	95	38	23.75	0.00016415	6.566e-05	4.10375e-05	1	0	-66.7	100
Arizona	78	0	0	N/A	1.072e-05	0.0	390	156	97.5	5.36e-05	2.144e-05	1.34e-05	33	0	83.3	100
Wisconsin	207	3	0	N/A	3.555e-05	5.2e-07	1000	461.538461538	300	0.000173333333333	8e-05	5.2e-05	48	3	-28.4	100
Michigan	552	3	0	N/A	5.527e-05	3e-07	1000	461.538461538	300	0.0001	4.61538461538e-05	3e-05	218	0	-13.1	-100
Kansas	44	1	0	N/A	1.51e-05	3.4e-07	333.333333333	153.846153846	100	0.000113333333333	5.23076923077e-05	3.4e-05	10	0	-37.5	100
Utah	78	0	0	N/A	2.433e-05	0.0	390	156	97.5	0.00012165	4.866e-05	3.04125e-05	-2	0	-106.9	100
Virginia	122	2	0	N/A	1.429e-05	2.3e-07	666.666666667	307.692307692	200	7.66666666667e-05	3.53846153846e-05	2.3e-05	23	0	4.5	100
Oregon	114	3	0	N/A	2.703e-05	7.1e-07	1000	461.538461538	300	0.000236666666667	0.000109230769231	7.1e-05	26	0	30	-100
Connecticut	194	3	0	N/A	5.441e-05	8.4e-07	1000	461.538461538	300	0.00028	0.000129230769231	8.4e-05	35	1	-61.5	-50
New York	8310	42	0	N/A	0.00042717	2.16e-06	14000	6461.53846154	4200	0.00072	0.000332307692308	0.000216	2945	8	2.6	-55.6
California	1177	23	0	N/A	2.979e-05	5.8e-07	7666.66666667	3538.46153846	2300	0.000193333333333	8.92307692308e-05	5.8e-05	225	5	11.9	0
Massachusetts	413	1	0	N/A	5.992e-05	1.5e-07	333.333333333	153.846153846	100	5e-05	2.30769230769e-05	1.5e-05	85	1	-22.7	100
Puerto Rico	14	0	0	N/A	4.38e-06	0.0	70	28	17.5	2.19e-05	8.76e-06	5.475e-06	9	0	100	100
South Carolina	126	1	0	N/A	2.447e-05	1.9e-07	333.333333333	153.846153846	100	6.33333333333e-05	2.92307692308e-05	1.9e-05	45	0	32.4	100
New Hampshire	44	0	0	N/A	3.236e-05	0.0	220	88	55	0.0001618	6.472e-05	4.045e-05	0	0	-100	100
Vermont	29	2	0	N/A	4.648e-05	3.21e-06	666.666666667	307.692307692	200	0.00107	0.000493846153846	0.000321	7	2	75	100
