value	x	y
1	0	1	1
2	0	1	2
3	0	1	3
4	0	1	4
5	0	1	5
6	0	1	6
7	0	1	7
8	0	1	8
9	0	1	9
10	0	1	10
11	0	1	11
12	0	1	12
13	0	1	13
14	0	1	14
15	0	1	15
16	0	1	16
17	0	1	17
18	0	2	1
19	0	2	2
20	0	2	3
21	0	2	4
22	0	2	5
23	0	2	6
24	0	2	7
25	0	2	8
26	0	2	9
27	0	2	10
28	0	2	11
29	0	2	12
30	0	2	13
31	0	2	14
32	0	2	15
33	0	2	16
34	0	2	17
35	0	3	1
36	0	3	2
37	0	3	3
38	0	3	4
39	0	3	5
40	0	3	6
41	0	3	7
42	0	3	8
43	0	3	9
44	0	3	10
45	0	3	11
46	0	3	12
47	0	3	13
48	0	3	14
49	0	3	15
50	0	3	16
51	0	3	17
52	0	4	1
53	0	4	2
54	0	4	3
55	0	4	4
56	0	4	5
57	0	4	6
58	0	4	7
59	0	4	8
60	0	4	9
61	20	4	10
62	0	4	11
63	0	4	12
64	0	4	13
65	0	4	14
66	0	4	15
67	0	4	16
68	0	4	17
69	0	5	1
70	0	5	2
71	0	5	3
72	0	5	4
73	0	5	5
74	0	5	6
75	0	5	7
76	0	5	8
77	0	5	9
78	0	5	10
79	0	5	11
80	0	5	12
81	0	5	13
82	0	5	14
83	0	5	15
84	0	5	16
85	0	5	17
86	0	6	1
87	0	6	2
88	0	6	3
89	0	6	4
90	0	6	5
91	0	6	6
92	0	6	7
93	0	6	8
94	0	6	9
95	0	6	10
96	0	6	11
97	0	6	12
98	0	6	13
99	0	6	14
100	0	6	15
101	0	6	16
102	0	6	17
103	0	7	1
104	0	7	2
105	0	7	3
106	0	7	4
107	0	7	5
108	0	7	6
109	0	7	7
110	0	7	8
111	0	7	9
112	0	7	10
113	0	7	11
114	0	7	12
115	0	7	13
116	0	7	14
117	0	7	15
118	0	7	16
119	0	7	17
120	0	8	1
121	0	8	2
122	0	8	3
123	0	8	4
124	0	8	5
125	0	8	6
126	0	8	7
127	0	8	8
128	0	8	9
129	0	8	10
130	0	8	11
131	0	8	12
132	0	8	13
133	0	8	14
134	0	8	15
135	0	8	16
136	0	8	17
137	0	9	1
138	0	9	2
139	0	9	3
140	0	9	4
141	0	9	5
142	0	9	6
143	0	9	7
144	0	9	8
145	0	9	9
146	0	9	10
147	0	9	11
148	0	9	12
149	0	9	13
150	0	9	14
151	0	9	15
152	0	9	16
153	0	9	17
154	0	10	1
155	0	10	2
156	0	10	3
157	0	10	4
158	0	10	5
159	0	10	6
160	0	10	7
161	0	10	8
162	0	10	9
163	0	10	10
164	0	10	11
165	0	10	12
166	0	10	13
167	0	10	14
168	0	10	15
169	0	10	16
170	0	10	17
171	0	11	1
172	0	11	2
173	0	11	3
174	0	11	4
175	0	11	5
176	0	11	6
177	0	11	7
178	0	11	8
179	0	11	9
180	0	11	10
181	0	11	11
182	0	11	12
183	0	11	13
184	0	11	14
185	0	11	15
186	0	11	16
187	0	11	17
188	0	12	1
189	0	12	2
190	0	12	3
191	0	12	4
192	0	12	5
193	0	12	6
194	0	12	7
195	0	12	8
196	0	12	9
197	0	12	10
198	0	12	11
199	0	12	12
200	0	12	13
201	0	12	14
202	0	12	15
203	0	12	16
204	0	12	17
205	0	13	1
206	0	13	2
207	0	13	3
208	0	13	4
209	0	13	5
210	0	13	6
211	50	13	7
212	0	13	8
213	0	13	9
214	0	13	10
215	0	13	11
216	0	13	12
217	0	13	13
218	0	13	14
219	0	13	15
220	0	13	16
221	0	13	17
222	0	14	1
223	0	14	2
224	0	14	3
225	0	14	4
226	0	14	5
227	0	14	6
228	0	14	7
229	0	14	8
230	0	14	9
231	0	14	10
232	0	14	11
233	0	14	12
234	0	14	13
235	0	14	14
236	30	14	15
237	0	14	16
238	0	14	17
239	0	15	1
240	0	15	2
241	0	15	3
242	0	15	4
243	0	15	5
244	0	15	6
245	0	15	7
246	0	15	8
247	0	15	9
248	0	15	10
249	0	15	11
250	0	15	12
251	0	15	13
252	0	15	14
253	0	15	15
254	0	15	16
255	0	15	17
256	0	16	1
257	0	16	2
258	0	16	3
259	0	16	4
260	0	16	5
261	0	16	6
262	0	16	7
263	0	16	8
264	0	16	9
265	0	16	10
266	0	16	11
267	0	16	12
268	0	16	13
269	0	16	14
270	0	16	15
271	0	16	16
272	0	16	17
273	0	17	1
274	0	17	2
275	0	17	3
276	0	17	4
277	0	17	5
278	0	17	6
279	0	17	7
280	0	17	8
281	0	17	9
282	0	17	10
283	0	17	11
284	0	17	12
285	0	17	13
286	0	17	14
287	0	17	15
288	0	17	16
289	0	17	17
