value	x	y
1	20	1	1
2	0	1	2
3	0	1	3
4	0	1	4
5	0	1	5
6	0	1	6
7	0	1	7
8	0	1	8
9	0	1	9
10	0	1	10
11	0	1	11
12	0	1	12
13	0	1	13
14	0	1	14
15	0	1	15
16	0	1	16
17	0	1	17
18	0	1	18
19	0	1	19
20	0	1	20
21	0	1	21
22	0	1	22
23	0	1	23
24	0	1	24
25	0	1	25
26	0	1	26
27	0	1	27
28	0	1	28
29	0	1	29
30	20	1	30
31	20	1	31
32	0	1	32
33	0	1	33
34	0	1	34
35	0	1	35
36	0	1	36
37	0	1	37
38	0	1	38
39	0	1	39
40	0	1	40
41	0	1	41
42	0	1	42
43	0	1	43
44	0	1	44
45	0	1	45
46	0	1	46
47	0	1	47
48	0	1	48
49	0	1	49
50	0	1	50
51	0	2	1
52	0	2	2
53	0	2	3
54	0	2	4
55	0	2	5
56	0	2	6
57	0	2	7
58	0	2	8
59	20	2	9
60	0	2	10
61	0	2	11
62	20	2	12
63	0	2	13
64	0	2	14
65	0	2	15
66	0	2	16
67	20	2	17
68	0	2	18
69	0	2	19
70	0	2	20
71	0	2	21
72	20	2	22
73	0	2	23
74	0	2	24
75	0	2	25
76	0	2	26
77	0	2	27
78	0	2	28
79	0	2	29
80	0	2	30
81	0	2	31
82	0	2	32
83	0	2	33
84	0	2	34
85	0	2	35
86	0	2	36
87	0	2	37
88	0	2	38
89	20	2	39
90	0	2	40
91	0	2	41
92	20	2	42
93	0	2	43
94	0	2	44
95	0	2	45
96	0	2	46
97	0	2	47
98	0	2	48
99	0	2	49
100	0	2	50
101	0	3	1
102	0	3	2
103	0	3	3
104	0	3	4
105	0	3	5
106	20	3	6
107	20	3	7
108	0	3	8
109	20	3	9
110	0	3	10
111	0	3	11
112	0	3	12
113	0	3	13
114	20	3	14
115	0	3	15
116	0	3	16
117	0	3	17
118	0	3	18
119	0	3	19
120	0	3	20
121	0	3	21
122	0	3	22
123	0	3	23
124	0	3	24
125	0	3	25
126	20	3	26
127	0	3	27
128	0	3	28
129	0	3	29
130	0	3	30
131	0	3	31
132	0	3	32
133	0	3	33
134	0	3	34
135	0	3	35
136	0	3	36
137	0	3	37
138	0	3	38
139	0	3	39
140	20	3	40
141	0	3	41
142	0	3	42
143	0	3	43
144	0	3	44
145	0	3	45
146	0	3	46
147	0	3	47
148	0	3	48
149	0	3	49
150	0	3	50
151	0	4	1
152	20	4	2
153	0	4	3
154	0	4	4
155	0	4	5
156	0	4	6
157	0	4	7
158	0	4	8
159	0	4	9
160	0	4	10
161	0	4	11
162	0	4	12
163	0	4	13
164	0	4	14
165	0	4	15
166	0	4	16
167	20	4	17
168	20	4	18
169	0	4	19
170	0	4	20
171	0	4	21
172	0	4	22
173	20	4	23
174	0	4	24
175	0	4	25
176	0	4	26
177	0	4	27
178	0	4	28
179	20	4	29
180	20	4	30
181	0	4	31
182	0	4	32
183	0	4	33
184	0	4	34
185	0	4	35
186	0	4	36
187	0	4	37
188	0	4	38
189	0	4	39
190	0	4	40
191	0	4	41
192	0	4	42
193	0	4	43
194	0	4	44
195	0	4	45
196	0	4	46
197	0	4	47
198	0	4	48
199	0	4	49
200	20	4	50
201	0	5	1
202	0	5	2
203	0	5	3
204	0	5	4
205	0	5	5
206	0	5	6
207	0	5	7
208	0	5	8
209	0	5	9
210	0	5	10
211	0	5	11
212	0	5	12
213	0	5	13
214	0	5	14
215	0	5	15
216	0	5	16
217	0	5	17
218	0	5	18
219	0	5	19
220	0	5	20
221	0	5	21
222	0	5	22
223	0	5	23
224	0	5	24
225	0	5	25
226	0	5	26
227	0	5	27
228	0	5	28
229	0	5	29
230	0	5	30
231	0	5	31
232	0	5	32
