value	x	y
0	1	1
0	1	2
0	1	3
0	1	4
0	1	5
0	1	6
0	1	7
0	1	8
0	1	9
0	1	10
0	1	11
0	1	12
0	1	13
0	1	14
0	1	15
0	1	16
0	1	17
0	1	18
0	1	19
0	1	20
0	1	21
0	1	22
0	1	23
0	1	24
0	1	25
0	2	1
0	2	2
0	2	3
0	2	4
0	2	5
0	2	6
0	2	7
0	2	8
0	2	9
0	2	10
0	2	11
0	2	12
0	2	13
0	2	14
0	2	15
0	2	16
0	2	17
0	2	18
0	2	19
0	2	20
0	2	21
0	2	22
0	2	23
0	2	24
0	2	25
0	3	1
0	3	2
0	3	3
0	3	4
0	3	5
0	3	6
0	3	7
0	3	8
0	3	9
0	3	10
0	3	11
0	3	12
0	3	13
0	3	14
0	3	15
0	3	16
0	3	17
0	3	18
0	3	19
0	3	20
0	3	21
0	3	22
0	3	23
0	3	24
0	3	25
0	4	1
0	4	2
0	4	3
0	4	4
0	4	5
0	4	6
0	4	7
0	4	8
0	4	9
0	4	10
0	4	11
0	4	12
0	4	13
0	4	14
0	4	15
0	4	16
0	4	17
0	4	18
0	4	19
0	4	20
0	4	21
0	4	22
0	4	23
0	4	24
0	4	25
0	5	1
0	5	2
0	5	3
0	5	4
0	5	5
0	5	6
0	5	7
0	5	8
0	5	9
0	5	10
0	5	11
0	5	12
0	5	13
0	5	14
0	5	15
0	5	16
0	5	17
0	5	18
0	5	19
0	5	20
0	5	21
0	5	22
0	5	23
0	5	24
0	5	25
0	6	1
0	6	2
0	6	3
0	6	4
0	6	5
0	6	6
0	6	7
20	6	8
20	6	9
20	6	10
20	6	11
0	6	12
0	6	13
0	6	14
0	6	15
0	6	16
0	6	17
0	6	18
0	6	19
0	6	20
0	6	21
0	6	22
0	6	23
0	6	24
0	6	25
20	7	1
20	7	2
20	7	3
20	7	4
20	7	5
20	7	6
20	7	7
20	7	8
20	7	9
20	7	10
20	7	11
0	7	12
0	7	13
0	7	14
0	7	15
0	7	16
0	7	17
0	7	18
0	7	19
0	7	20
0	7	21
0	7	22
0	7	23
0	7	24
0	7	25
20	8	1
20	8	2
20	8	3
20	8	4
20	8	5
20	8	6
20	8	7
35	8	8
35	8	9
35	8	10
20	8	11
20	8	12
20	8	13
20	8	14
20	8	15
20	8	16
20	8	17
20	8	18
20	8	19
0	8	20
0	8	21
0	8	22
0	8	23
0	8	24
0	8	25
20	9	1
20	9	2
20	9	3
20	9	4
20	9	5
20	9	6
20	9	7
30	9	8
45	9	9
35	9	10
20	9	11
20	9	12
20	9	13
20	9	14
20	9	15
20	9	16
20	9	17
20	9	18
20	9	19
20	9	20
20	9	21
0	9	22
0	9	23
0	9	24
0	9	25
20	10	1
20	10	2
20	10	3
20	10	4
20	10	5
20	10	6
20	10	7
20	10	8
20	10	9
20	10	10
20	10	11
20	10	12
20	10	13
20	10	14
20	10	15
20	10	16
20	10	17
20	10	18
20	10	19
20	10	20
20	10	21
20	10	22
0	10	23
0	10	24
0	10	25
20	11	1
20	11	2
20	11	3
20	11	4
20	11	5
20	11	6
20	11	7
20	11	8
20	11	9
20	11	10
20	11	11
20	11	12
20	11	13
20	11	14
20	11	15
20	11	16
20	11	17
20	11	18
20	11	19
20	11	20
20	11	21
20	11	22
20	11	23
0	11	24
0	11	25
20	12	1
20	12	2
20	12	3
20	12	4
20	12	5
20	12	6
20	12	7
20	12	8
20	12	9
20	12	10
20	12	11
20	12	12
20	12	13
20	12	14
20	12	15
20	12	16
20	12	17
20	12	18
20	12	19
20	12	20
20	12	21
20	12	22
20	12	23
20	12	24
0	12	25
20	13	1
20	13	2
20	13	3
20	13	4
20	13	5
20	13	6
20	13	7
20	13	8
20	13	9
20	13	10
20	13	11
20	13	12
20	13	13
20	13	14
20	13	15
20	13	16
20	13	17
20	13	18
20	13	19
20	13	20
20	13	21
20	13	22
0	13	23
0	13	24
0	13	25
20	14	1
20	14	2
20	14	3
20	14	4
20	14	5
20	14	6
20	14	7
20	14	8
40	14	9
30	14	10
20	14	11
20	14	12
20	14	13
20	14	14
20	14	15
20	14	16
20	14	17
20	14	18
20	14	19
20	14	20
20	14	21
0	14	22
0	14	23
0	14	24
0	14	25
20	15	1
20	15	2
20	15	3
20	15	4
20	15	5
20	15	6
25	15	7
40	15	8
45	15	9
35	15	10
20	15	11
20	15	12
20	15	13
20	15	14
20	15	15
20	15	16
20	15	17
20	15	18
20	15	19
0	15	20
0	15	21
0	15	22
0	15	23
0	15	24
0	15	25
0	16	1
0	16	2
0	16	3
0	16	4
0	16	5
0	16	6
25	16	7
30	16	8
35	16	9
20	16	10
20	16	11
0	16	12
0	16	13
0	16	14
0	16	15
0	16	16
0	16	17
0	16	18
0	16	19
0	16	20
0	16	21
0	16	22
0	16	23
0	16	24
0	16	25
0	17	1
0	17	2
0	17	3
0	17	4
0	17	5
0	17	6
0	17	7
20	17	8
20	17	9
20	17	10
0	17	11
0	17	12
0	17	13
0	17	14
0	17	15
0	17	16
0	17	17
0	17	18
0	17	19
0	17	20
0	17	21
0	17	22
0	17	23
0	17	24
0	17	25
0	18	1
0	18	2
0	18	3
0	18	4
0	18	5
20	18	6
