Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Tests	Tests_per_capita
Brazil	12161	564	127	11470	5.806e-5	2.69e-6	188000	86769.2307692	56400	8.96666666667e-4	4.13846153846e-4	2.69e-4	54824	2.58e-4
Belize	7	1	0	6	1.827e-5	2.61e-6	333.333333333	153.846153846	100	8.7e-4	4.01538461538e-4	2.61e-4	268	6.74e-4
Colombia	1579	46	88	1445	3.18e-5	9.3e-7	15333.3333333	7076.92307692	4600	3.1e-4	1.43076923077e-4	9.3e-5	27685	5.44e-4
Suriname	10	1	0	9	1.736e-5	1.74e-6	333.333333333	153.846153846	100	5.8e-4	2.67692307692e-4	1.74e-4	NA	NA
Uruguay	406	6	104	296	1.1771e-4	1.74e-6	2000	923.076923077	600	5.8e-4	2.67692307692e-4	1.74e-4	5208	0.001499
Peru	2561	92	997	1472	8.006e-5	2.88e-6	30666.6666667	14153.8461538	9200	9.6e-4	4.43076923077e-4	2.88e-4	20414	6.19e-4
Ecuador	3747	191	100	3456	2.1932e-4	1.118e-5	63666.6666667	29384.6153846	19100	0.00372666666667	0.00172	0.001118	13039	7.39e-4
Chile	4815	37	728	4050	2.5709e-4	1.98e-6	12333.3333333	5692.30769231	3700	6.6e-4	3.04615384615e-4	1.98e-4	54864	0.00287
Guyana	31	4	8	19	3.979e-5	5.13e-6	1333.33333333	615.384615385	400	0.00171	7.89230769231e-4	5.13e-4	115	1.46e-4
Grenada	12	0	0	12	1.0767e-4	0	60	24	15	5.3835e-4	2.1534e-4	1.345875e-4	45	4e-4
Argentina	1554	48	325	1181	3.493e-5	1.08e-6	16000	7384.61538462	4800	3.6e-4	1.66153846154e-4	1.08e-4	10709	2.37e-4
Bolivia	183	11	2	170	1.612e-5	9.7e-7	3666.66666667	1692.30769231	1100	3.23333333333e-4	1.49230769231e-4	9.7e-5	591	5.1e-5
Venezuela	165	7	65	93	5.72e-6	2.4e-7	2333.33333333	1076.92307692	700	8e-5	3.69230769231e-5	2.4e-5	1779	6.3e-5
Barbados	60	2	6	52	2.0932e-4	6.98e-6	666.666666667	307.692307692	200	0.00232666666667	0.00107384615385	6.98e-4	527	0.001834
