Name	Predicted_New_Cases	Total_Predicted_New_Cases
Heilongjiang	1.253	21.253
Beijing	1.933	2.933
Shanghai	6.467	11.467
Nei Mongol	2.84	3.84
Shandong	0.88	1.88
Henan	0.0	0.0
Shaanxi	0.0	0.0
Fujian	1.787	1.787
Jiangxi	0.0	0.0
Yunnan	0.48	0.48
Hubei	0.0	0.0
Macau	0.547	0.547
Tianjin	2.0	2.0
Guangxi	0.0	0.0
Liaoning	1.147	1.147
Sichuan	1.08	2.08
Guizhou	0.0	0.0
Chongqing	0.0	0.0
Shanxi	0.0	0.0
Guangdong	7.747	15.747
Hunan	0.0	0.0
Jiangsu	0.867	0.867
Jilin	0.133	0.133
Hebei	1.187	1.187
Hong Kong	39.307	63.307
Zhejiang	1.64	2.64
Gansu	0.0	1.0
