Latitude	Longitude
43.649418	-79.371446
43.6504606	-79.3719239
43.6515337	-79.37236
43.6527176	-79.372824
43.653704	-79.373238
43.655357	-79.373862
43.657052	-79.374531
43.660432	-79.3758537
43.66242	-79.3767079
43.6662894	-79.378325
43.668869	-79.3794158
43.6699892	-79.3799226
43.6715773	-79.38052
43.64851318	-79.37383354
43.6499164	-79.374409
43.651173	-79.374925
43.652441	-79.375448
43.65317	-79.375754
43.654817	-79.376441
43.656499	-79.377127
43.659858	-79.378522
43.661871	-79.379335
43.6657034	-79.380928
43.6710224	-79.383123
43.6506539	-79.377248
43.6519522	-79.377756
43.6526703	-79.378066
43.646846	-79.376931
43.6478484	-79.377351
43.6491624	-79.377904
43.650419	-79.378436
43.651697	-79.378965
43.6524209	-79.379276
43.654066	-79.379957
43.656326	-79.380912
43.6590897	-79.382096
43.6613687	-79.383094
43.6649351	-79.384558
43.670229	-79.386767
43.672879	-79.387845
43.6756028	-79.38895
43.6769762	-79.389534
43.6791392	-79.390424
43.6820226	-79.391574
43.688075	-79.394098
43.6982977	-79.396601
43.702508	-79.397458
43.7067501	-79.398311
43.709554	-79.398943
43.7118551	-79.399437
43.716605	-79.400452
43.7195544	-79.40109
43.721971	-79.401557
43.7251031	-79.402193
43.7278642	-79.40293
43.730913	-79.403788
43.7343677	-79.404585
43.645996	-79.379115
43.647345	-79.379702
43.648653	-79.380268
43.649876	-79.380823
43.6512244	-79.381452
43.65189	-79.381698
43.6529652	-79.382631
43.655721	-79.383734
43.658496	-79.384865
43.6608138	-79.385857
43.664366	-79.387151
43.669701	-79.389468
43.6466383	-79.383007
43.6479338	-79.383531
43.649196	-79.384074
43.6505005	-79.38462
43.645291	-79.382476
43.6464054	-79.384076
43.6476553	-79.384788
43.648857	-79.38548
43.6501396	-79.38624
43.650827	-79.386628
43.654812	-79.388484
43.656323	-79.388959
43.6598474	-79.39049
43.6636098	-79.390626
43.6659353	-79.391879
43.668685	-79.394119
43.7145838	-79.359791
43.713573	-79.364752
43.7125627	-79.369606
43.711056	-79.377114
43.7100093	-79.382221
43.7084166	-79.390153
43.7078669	-79.39279
43.7063458	-79.400252
43.7051068	-79.406125
43.7046104	-79.408474
43.7034761	-79.41388
43.7027131	-79.417444
43.7023611	-79.419081
43.7009757	-79.425534
43.6998248	-79.430961
43.698048	-79.439379
43.6972932	-79.442789
43.696242	-79.447688
43.695684	-79.450293
43.694985	-79.453476
43.672136	-79.395624
43.674705	-79.396651
43.67719	-79.397579
43.6795475	-79.39855
43.6843241	-79.400495
43.686624	-79.401479
43.690773	-79.403027
43.6937297	-79.401852
43.6978798	-79.403231
43.698761	-79.406076
43.710333	-79.411119
43.71696	-79.413444
43.7222401	-79.415589
43.7279	-79.417894
43.7332	-79.41951
43.7359103	-79.4201
43.7398627	-79.421636
43.744121	-79.406724
43.7615144	-79.410903
43.7692945	-79.412931
