Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Confirmed_daily	Deaths_daily	Confirmed_change	Deaths_change	Tests	Tests_per_capita
Brazil	3417	92	6	3319	1.631e-5	4.4e-7	30666.6666667	14153.8461538	9200	1.46666666667e-4	6.76923076923e-5	4.4e-5	432	15	0.2	-16.7	NA	NA
Belize	2	0	0	2	5.22e-6	0	10	4	2.5	2.61e-5	1.044e-5	6.525e-6	0	0	100	100	NA	NA
Colombia	539	6	10	523	1.086e-5	1.2e-7	2000	923.076923077	600	4e-5	1.84615384615e-5	1.2e-5	48	0	128.6	-100	8908	1.85e-4
Suriname	8	0	0	8	1.389e-5	0	40	16	10	6.945e-5	2.778e-5	1.73625e-5	0	0	100	100	NA	NA
Uruguay	238	0	0	238	6.9e-5	0	1190	476	297.5	3.45e-4	1.38e-4	8.625e-5	21	0	-25	100	NA	NA
Peru	635	11	16	608	1.985e-5	3.4e-7	3666.66666667	1692.30769231	1100	1.13333333333e-4	5.23076923077e-5	3.4e-5	55	2	-45	100	12669	3.86e-4
Ecuador	1595	36	3	1556	9.336e-5	2.11e-6	12000	5538.46153846	3600	7.03333333333e-4	3.24615384615e-4	2.11e-4	192	2	-16.5	-66.7	NA	NA
Chile	1610	5	43	1562	8.596e-5	2.7e-7	1666.66666667	769.230769231	500	9e-5	4.15384615385e-5	2.7e-5	304	1	85.4	0	35142	0.001843
Guyana	5	1	0	4	6.42e-6	1.28e-6	333.333333333	153.846153846	100	4.26666666667e-4	1.96923076923e-4	1.28e-4	0	0	100	100	NA	NA
Grenada	7	0	0	7	6.281e-5	0	35	14	8.75	3.1405e-4	1.2562e-4	7.85125e-5	0	0	-100	100	NA	NA
Argentina	589	13	72	504	1.324e-5	2.9e-7	4333.33333333	2000	1300	9.66666666667e-5	4.46153846154e-5	2.9e-5	87	4	-24.3	300	2847	6.3e-5
Bolivia	61	0	0	61	5.37e-6	0	305	122	76.25	2.685e-5	1.074e-5	6.7125e-6	18	0	63.6	100	NA	NA
Venezuela	107	1	31	75	3.71e-6	3e-8	333.333333333	153.846153846	100	1e-5	4.61538461538e-6	3e-6	0	1	-100	100	NA	NA
Barbados	24	0	0	24	8.373e-5	0	120	48	30	4.1865e-4	1.6746e-4	1.046625e-4	6	0	100	100	NA	NA
