Date	New Cases	Med ave	Smooth	Smooth2	Canada Cases	percentage
13-Jan				0.1	10	0.0000002672417281
14-Jan				0.2	20	0.0000005344834562
16-Jan				0.4	40	0.000001068966912
17-Jan				0.8	80	0.000002137933825
18-Jan				1	139	0.000003714660021
19-Jan				2	278	0.000007429320041
20-Jan				3	417	0.00001114398006
21-Jan				6	834	0.00002228796012
22-Jan				10	1390	0.00003714660021
23-Jan				15	2085	0.00005571990031
24-Jan				20	2780	0.00007429320041
25-Jan				25	3475	0.00009286650052
26-Jan				30	4170	0.0001114398006
27-Jan				35	4865	0.0001300131007
28-Jan	40			42	5838	0.0001560157209
29-Jan	59			50	6950	0.000185733001
30-Jan	71			60	8340	0.0002228796012
31-Jan	79			72	10008	0.0002674555215
1-Feb	93			93	12927	0.0003454633819
2-Feb	131	131	131	131	18209	0.0004866204627
3-Feb	202	202	188.6666667	189	26271	0.0007020707439
4-Feb	233	233	225	233.1333333	32405.53333	0.0008660110728
5-Feb	240	240	271.6666667	291.8666667	40569.46667	0.001084185438
6-Feb	566	342	349.3333333	355.4	49400.6	0.001320190171
7-Feb	342	466	424.6666667	431.8666667	60029.46667	0.001604237841
8-Feb	466	466	506.3333333	519.8	72252.2	0.001930880279
9-Feb	587	587	607.3333333	636.2	88431.8	0.002363266705
10-Feb	769	769	711.3333333	785.7333333	109216.9333	0.0029187322
11-Feb	778	778	931.3333333	966.5333333	134348.1333	0.003590342732
12-Feb	1247	1247	1172.333333	1163.8	161768.2	0.004323121332
13-Feb	1492	1492	1410.333333	1395.333333	193951.3333	0.005183188949
14-Feb	1797	1492	1593.666667	1638.866667	227802.4667	0.006087832486
15-Feb	977	1797	1869	1905.466667	264859.8667	0.007078160847
16-Feb	2318	2318	2149	2203.066667	306226.2667	0.00818364367
17-Feb	2866	2332	2505.333333	2541.666667	353291.6667	0.009441427553
18-Feb	2332	2866	2898.333333	2869.333333	398837.3333	0.01065859782
19-Feb	3497	3497	3286.666667	3143.066667	436886.2667	0.01167542409
20-Feb	3590	3497	3507.333333	3392.866667	471608.4667	0.01260334616
21-Feb	3233	3528	3517.666667	3683.666667	512029.6667	0.0136835693
22-Feb	3528	3528	3754.333333	4060.8	564451.2	0.01508449141
23-Feb	4207	4207	4352.333333	4512.533333	627242.1333	0.01676252717
24-Feb	5322	5322	5172.333333	4978.066667	691951.2667	0.01849182523
25-Feb	5988	5988	5766	5200	722800	0.01931623211
26-Feb	6557	5988	5845.333333	5400	750600	0.02005916411
27-Feb	5560	5560	5599	5500	764500	0.02043063011
28-Feb	4780	5249	5339.666667	5600	778400	0.02080209612
29-Feb	5249	5210	5236	5600	778400	0.02080209612
1-Mar	5210	5249	5456	5550	771450	0.02061636311
2-Mar	6203	5909	5710.666667	5500	764500	0.02043063011
3-Mar	5909	5974	5930.666667	5450	757550	0.02024489711
4-Mar	5974	5909	5700	5350	743650	0.01987343111
5-Mar	5217	5217	5061.333333	5250	729750	0.01950196511
6-Mar	4050	4058	4444.333333	5150	715850	0.01913049911
7-Mar	4058	4058	4261.333333	5000	695000	0.0185733001
8-Mar	4782	4668	4464.666667	4850	674150	0.0180161011
9-Mar	4668	4668	4654.166667	4700	653300	0.0174589021
10-Mar	4585	4626.5	4647.25	4600	639400	0.0170874361
11-Mar				4500	625500	0.01671597009
12-Mar				4400	611600	0.01634450409
13-Mar				4300	597700	0.01597303809
14-Mar				4150	576850	0.01541583909
15-Mar				4000	556000	0.01485864008
16-Mar				3850	535150	0.01430144108
17-Mar				3700	514300	0.01374424208
18-Mar				3550	493450	0.01318704307
19-Mar				3400	472600	0.01262984407
20-Mar				3250	451750	0.01207264507
21-Mar				3100	430900	0.01151544606
22-Mar				2970	412830	0.01103254026
23-Mar				2840	394760	0.01054963446
24-Mar				2700	375300	0.01002958206
25-Mar				2560	355840	0.009509529653
26-Mar				2440	339160	0.00906377045
27-Mar				2320	322480	0.008618011248
28-Mar				2300	319700	0.008543718048
29-Mar				2180	303020	0.008097958845
30-Mar				2070	287730	0.007689346243
31-Mar				1970	273830	0.007317880241
1-Apr				1870	259930	0.006946414239
2-Apr				1770	246030	0.006574948237
3-Apr				1670	232130	0.006203482235
4-Apr				1570	218230	0.005832016232
5-Apr				1470	204330	0.00546055023
