Name	Confirmed	Deaths	Recovered	Active
Albany	217	1	0	0
Ontario	20	0	0	0
Orleans	4	0	0	0
Delaware	11	0	0	0
Broome	35	3	0	0
Montgomery	6	0	0	0
Richmond	0	0	0	0
Jefferson	11	0	0	0
Warren	18	0	0	0
Orange	1435	5	0	0
Cortland	10	0	0	0
Putnam	167	0	0	0
Chautauqua	7	0	0	0
Tioga	7	0	0	0
Columbia	36	1	0	0
Dutchess	392	2	0	0
Cayuga	3	0	0	0
Otsego	17	1	0	0
Saint Lawrence	13	0	0	0
Rockland	2511	8	0	0
Herkimer	12	2	0	0
Hamilton	2	0	0	0
Unassigned	0	298	0	0
Nassau	7344	39	0	0
Westchester	9326	10	0	0
Onondaga	228	1	0	0
Wayne	15	0	0	0
Chemung	15	0	0	0
Wyoming	8	1	0	0
Yates	0	0	0	0
Saratoga	108	1	0	0
Allegany	7	0	0	0
Oneida	34	0	0	0
Greene	10	0	0	0
Livingston	13	0	0	0
Rensselaer	52	0	0	0
Franklin	6	0	0	0
Bronx	0	0	0	0
Chenango	17	0	0	0
Queens	0	0	0	0
Tompkins	70	0	0	0
Fulton	1	0	0	0
Seneca	0	0	0	0
Madison	42	1	0	0
Clinton	17	0	0	0
Ulster	190	0	0	0
Schuyler	2	0	0	0
Sullivan	101	0	0	0
Lewis	0	0	0	0
Oswego	15	0	0	0
Washington	9	0	0	0
Essex	5	0	0	0
Genesee	9	0	0	0
New York	37453	790	0	0
Niagara	41	0	0	0
Cattaraugus	6	0	0	0
Suffolk	5791	40	0	0
Kings	0	0	0	0
Erie	443	7	0	0
Schenectady	80	1	0	0
Schoharie	6	0	0	0
Monroe	246	6	0	0
Steuben	19	0	0	0
