Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Tests	Tests_per_capita
Canada	27022	900	0	26122	7.2916e-4	2.429e-5	300000	138461.538462	90000	0.00809666666667	0.00373692307692	0.002429	437475	0.011591
Jamaica	73	4	19	50	2.487e-5	1.36e-6	1333.33333333	615.384615385	400	4.53333333333e-4	2.09230769231e-4	1.36e-4	1199	4.05e-4
Honduras	407	26	7	374	4.245e-5	2.71e-6	8666.66666667	4000	2600	9.03333333333e-4	4.16923076923e-4	2.71e-4	1600	1.62e-4
Saint Lucia	15	0	11	4	8.247e-5	0	75	30	18.75	4.1235e-4	1.6494e-4	1.030875e-4	319	0.001737
Cuba	766	21	132	613	6.756e-5	1.85e-6	7000	3230.76923077	2100	6.16666666667e-4	2.84615384615e-4	1.85e-4	18634	0.001645
El Salvador	149	6	25	118	2.321e-5	9.3e-7	2000	923.076923077	600	3.1e-4	1.43076923077e-4	9.3e-5	7230	0.001115
The Bahamas	49	8	6	35	1.2706e-4	2.074e-5	2666.66666667	1230.76923077	800	0.00691333333333	0.00319076923077	0.002074	NA	NA
Panama	3472	94	61	3317	8.3124e-4	2.25e-5	31333.3333333	14461.5384615	9400	0.0075	0.00346153846154	0.00225	15567	0.003608
Mexico	5014	332	1964	2718	3.973e-5	2.63e-6	110666.666667	51076.9230769	33200	8.76666666667e-4	4.04615384615e-4	2.63e-4	37395	2.9e-4
United States of America	607513	25831	0	581682	0.00185689	7.895e-5	8610333.33333	3974000	2583100	0.0263166666667	0.0121461538462	0.007895	3063063	0.009254
Costa Rica	618	3	66	549	1.2361e-4	6e-7	1000	461.538461538	300	2e-4	9.23076923077e-5	6e-5	8703	0.001708
Saint Kitts and Nevis	14	0	0	14	2.6697e-4	0	70	28	17.5	0.00133485	5.3394e-4	3.337125e-4	234	0.004399
Trinidad and Tobago	113	8	17	88	8.13e-5	5.76e-6	2666.66666667	1230.76923077	800	0.00192	8.86153846154e-4	5.76e-4	1152	8.23e-4
Guatemala	167	5	19	143	9.68e-6	2.9e-7	1666.66666667	769.230769231	500	9.66666666667e-5	4.46153846154e-5	2.9e-5	1134	6.3e-5
Antigua and Barbuda	23	2	3	18	2.3887e-4	2.077e-5	666.666666667	307.692307692	200	0.00692333333333	0.00319538461538	0.002077	73	7.45e-4
Paraguay	159	7	22	130	2.286e-5	1.01e-6	2333.33333333	1076.92307692	700	3.36666666667e-4	1.55384615385e-4	1.01e-4	3394	4.76e-4
Saint Vincent and the Grenadines	12	0	1	11	1.0888e-4	0	60	24	15	5.444e-4	2.1776e-4	1.361e-4	NA	NA
Dominican Republic	3286	183	162	2941	3.0921e-4	1.722e-5	61000	28153.8461538	18300	0.00574	0.00264923076923	0.001722	9275	8.55e-4
Nicaragua	9	1	4	4	1.39e-6	1.5e-7	333.333333333	153.846153846	100	5e-5	2.30769230769e-5	1.5e-5	NA	NA
Haiti	40	3	0	37	3.6e-6	2.7e-7	1000	461.538461538	300	9e-5	4.15384615385e-5	2.7e-5	365	3.2e-5
Dominica	16	0	8	8	2.2339e-4	0	80	32	20	0.00111695	4.4678e-4	2.792375e-4	345	0.004793
