Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Confirmed_daily	Deaths_daily	Tests	Tests_per_capita
Canada	3251	30	0	0	8.773e-5	8.1e-7	10000	4615.38461538	3000	2.7e-4	1.24615384615e-4	8.1e-5	461	4	142154	0.003751
Jamaica	26	1	2	23	8.86e-6	3.4e-7	333.333333333	153.846153846	100	1.13333333333e-4	5.23076923077e-5	3.4e-5	5	0	NA	NA
Honduras	36	0	0	36	3.75e-6	0	180	72	45	1.875e-5	7.5e-6	4.6875e-6	6	0	NA	NA
Saint Lucia	3	0	0	3	1.649e-5	0	15	6	3.75	8.245e-5	3.298e-5	2.06125e-5	0	0	NA	NA
Cuba	57	1	1	55	5.03e-6	9e-8	333.333333333	153.846153846	100	3e-5	1.38461538462e-5	9e-6	9	0	NA	NA
El Salvador	9	0	0	9	1.4e-6	0	45	18	11.25	7e-6	2.8e-6	1.75e-6	4	0	NA	NA
The Bahamas	5	0	1	4	1.297e-5	0	25	10	6.25	6.485e-5	2.594e-5	1.62125e-5	0	0	NA	NA
Panama	443	8	1	434	1.0606e-4	1.92e-6	2666.66666667	1230.76923077	800	6.4e-4	2.95384615385e-4	1.92e-4	98	2	3690	8.83e-4
Mexico	405	5	4	396	3.21e-6	4e-8	1666.66666667	769.230769231	500	1.33333333333e-5	6.15384615385e-6	4e-6	38	1	NA	NA
United States of America	65778	942	0	0	2.0105e-4	2.88e-6	314000	144923.076923	94200	9.6e-4	4.43076923077e-4	2.88e-4	12038	236	484062	0.001475
Costa Rica	201	2	2	197	4.02e-5	4e-7	666.666666667	307.692307692	200	1.33333333333e-4	6.15384615385e-5	4e-5	24	0	1885	3.77e-4
Saint Kitts and Nevis	2	0	0	2	3.814e-5	0	10	4	2.5	1.907e-4	7.628e-5	4.7675e-5	NA	NA	NA	NA
Trinidad and Tobago	60	1	0	59	4.317e-5	7.2e-7	333.333333333	153.846153846	100	2.4e-4	1.10769230769e-4	7.2e-5	3	1	NA	NA
Guatemala	24	1	4	19	1.39e-6	6e-8	333.333333333	153.846153846	100	2e-5	9.23076923077e-6	6e-6	3	0	NA	NA
Antigua and Barbuda	3	0	0	3	3.116e-5	0	15	6	3.75	1.558e-4	6.232e-5	3.895e-5	0	0	NA	NA
Paraguay	37	3	0	34	5.32e-6	4.3e-7	1000	461.538461538	300	1.43333333333e-4	6.61538461538e-5	4.3e-5	10	1	NA	NA
Saint Vincent and the Grenadines	1	0	0	1	9.07e-6	0	5	2	1.25	4.535e-5	1.814e-5	1.13375e-5	0	0	NA	NA
Dominican Republic	392	10	3	379	3.689e-5	9.4e-7	3333.33333333	1538.46153846	1000	3.13333333333e-4	1.44615384615e-4	9.4e-5	80	4	NA	NA
Nicaragua	2	0	0	2	3.1e-7	0	10	4	2.5	1.55e-6	6.2e-7	3.875e-7	0	0	NA	NA
Haiti	8	0	0	8	7.2e-7	0	40	16	10	3.6e-6	1.44e-6	9e-7	1	0	NA	NA
Dominica	7	0	0	7	9.773e-5	0	35	14	8.75	4.8865e-4	1.9546e-4	1.221625e-4	5	0	NA	NA
