Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Confirmed_daily	Deaths_daily
Coos	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0
Belknap	4	0	0	0	6.555e-05	0.0	20	8	5	0.00032775	0.0001311	8.19375e-05	4	0
Strafford	3	0	0	0	2.306e-05	0.0	15	6	3.75	0.0001153	4.612e-05	2.8825e-05	0	0
Sullivan	1	0	0	0	2.318e-05	0.0	5	2	1.25	0.0001159	4.636e-05	2.8975e-05	0	0
Grafton	15	0	0	0	0.00016706	0.0	75	30	18.75	0.0008353	0.00033412	0.000208825	0	0
Carroll	6	0	0	0	0.000123	0.0	30	12	7.5	0.000615	0.000246	0.00015375	0	0
Merrimack	4	0	0	0	2.647e-05	0.0	20	8	5	0.00013235	5.294e-05	3.30875e-05	0	0
Hillsborough	16	1	0	0	3.853e-05	2.41e-06	333.333333333	153.846153846	100	0.000803333333333	0.000370769230769	0.000241	1	1
Cheshire	1	0	0	0	1.307e-05	0.0	5	2	1.25	6.535e-05	2.614e-05	1.63375e-05	0	0
Unassigned	23	0	0	0	N/A	N/A	115	46	28.75	N/A	N/A	N/A	NA	NA
Rockingham	28	0	0	0	9.056e-05	0.0	140	56	35	0.0004528	0.00018112	0.0001132	0	0
