Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Tests	Tests_per_capita
Brazil	28320	1736	14026	12558	1.352e-4	8.29e-6	578666.666667	267076.923077	173600	0.00276333333333	0.00127538461538	8.29e-4	62985	2.96e-4
Belize	18	2	0	16	4.699e-5	5.22e-6	666.666666667	307.692307692	200	0.00174	8.03076923077e-4	5.22e-4	567	0.001426
Colombia	3105	131	452	2522	6.254e-5	2.64e-6	43666.6666667	20153.8461538	13100	8.8e-4	4.06153846154e-4	2.64e-4	45423	8.93e-4
Suriname	10	1	6	3	1.736e-5	1.74e-6	333.333333333	153.846153846	100	5.8e-4	2.67692307692e-4	1.74e-4	NA	NA
Uruguay	492	8	260	224	1.4264e-4	2.32e-6	2666.66666667	1230.76923077	800	0.00077333333333300005	3.56923076923e-4	2.32e-4	10448	0.003008
Peru	11475	254	3108	8113	3.5871e-4	7.94e-6	84666.6666667	39076.9230769	25400	0.00264666666667	0.00122153846154	7.94e-4	109385	0.003318
Ecuador	7858	388	780	6690	4.5995e-4	2.271e-5	129333.333333	59692.3076923	38800	0.00757	0.00349384615385	0.002271	26093	0.001479
Chile	8273	94	2937	5242	4.4172e-4	5.02e-6	31333.3333333	14461.5384615	9400	0.00167333333333	7.72307692308e-4	5.02e-4	91873	0.004806
Guyana	55	6	8	41	7.06e-5	7.7e-6	2000	923.076923077	600	0.00256666666667	0.00118461538462	7.7e-4	213	2.71e-4
Grenada	14	0	0	14	1.2561e-4	0	70	28	17.5	6.2805e-4	2.5122e-4	1.570125e-4	92	8.18e-4
Argentina	2443	111	596	1736	5.491e-5	2.49e-6	37000	17076.9230769	11100	8.3e-4	3.83076923077e-4	2.49e-4	24374	5.39e-4
Bolivia	397	28	7	362	3.497e-5	2.47e-6	9333.33333333	4307.69230769	2800	8.23333333333e-4	3.8e-4	2.47e-4	2185	1.87e-4
Venezuela	197	9	111	77	6.82e-6	3.1e-7	3000	1384.61538462	900	1.03333333333e-4	4.76923076923e-5	3.1e-5	225009	0.007913
Barbados	73	5	15	53	2.5467e-4	1.744e-5	1666.66666667	769.230769231	500	0.00581333333333	0.00268307692308	0.001744	864	0.003007
