Name	Confirmed	Deaths	Recovered	Active
Brazil	4256	136	6	4114
Suriname	8	0	0	8
The Bahamas	11	0	1	10
Panama	901	17	4	880
Costa Rica	314	2	3	309
Peru	852	18	16	818
Argentina	745	19	72	654
Bolivia	81	1	0	80
Venezuela	119	2	39	78
Ecuador	1924	58	3	1863
Cuba	139	3	4	132
El Salvador	24	0	0	24
Saint Kitts and Nevis	2	0	0	2
Guatemala	34	1	10	23
Chile	2139	7	75	2057
Saint Vincent and the Grenadines	1	0	1	0
Haiti	15	0	1	14
Belize	2	0	0	2
Saint Lucia	9	0	1	8
Dominica	11	0	0	11
Trinidad and Tobago	78	3	1	74
Guyana	8	1	0	7
Grenada	9	0	0	9
Dominican Republic	859	39	3	817
Jamaica	32	1	2	29
Honduras	110	3	3	104
Mexico	848	16	4	828
Uruguay	304	1	0	303
Antigua and Barbuda	7	0	0	7
Colombia	702	10	10	682
Paraguay	59	3	1	55
Nicaragua	4	1	0	3
Barbados	33	0	0	33
