STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP
Alabama,Autauga,55601
Alabama,Baldwin,218022
Alabama,Barbour,24881
Alabama,Bibb,22400
Alabama,Blount,57840
Alabama,Bullock,10138
Alabama,Butler,19680
Alabama,Calhoun,114277
Alabama,Chambers,33615
Alabama,Cherokee,26032
Alabama,Chilton,44153
Alabama,Choctaw,12841
Alabama,Clarke,23920
Alabama,Clay,13275
Alabama,Cleburne,14987
Alabama,Coffee,51909
Alabama,Colbert,54762
Alabama,Conecuh,12277
Alabama,Coosa,10715
Alabama,Covington,36986
Alabama,Crenshaw,13824
Alabama,Cullman,83442
Alabama,Dale,48956
Alabama,Dallas,38310
Alabama,De Kalb,71385
Alabama,Elmore,81887
Alabama,Escambia,36748
Alabama,Etowah,102501
Alabama,Fayette,16433
Alabama,Franklin,31363
Alabama,Geneva,26314
Alabama,Greene,8233
Alabama,Hale,14726
Alabama,Henry,17209
Alabama,Houston,104722
Alabama,Jackson,51736
Alabama,Jefferson,659300
Alabama,Lamar,13844
Alabama,Lauderdale,92387
Alabama,Lawrence,32957
Alabama,Lee,163941
Alabama,Limestone,96174
Alabama,Lowndes,9974
Alabama,Macon,18439
Alabama,Madison,366519
Alabama,Marengo,19066
Alabama,Marion,29763
Alabama,Marshall,96109
Alabama,Mobile,413757
Alabama,Monroe,21067
Alabama,Montgomery,225763
Alabama,Morgan,119089
Alabama,Perry,9140
Alabama,Pickens,19938
Alabama,Pike,33338
Alabama,Randolph,22725
Alabama,Russell,57781
Alabama,Saint Clair,88690
Alabama,Shelby,215707
Alabama,Sumter,12691
Alabama,Talladega,79828
Alabama,Tallapoosa,40497
Alabama,Tuscaloosa,208911
Alabama,Walker,63711
Alabama,Washington,16378
Alabama,Wilcox,10627
Alabama,Winston,23660
Alaska,Aleutians East,3515
Alaska,Aleutians West,5723
Alaska,Anchorage,291538
Alaska,Bethel,18216
Alaska,Bristol Bay,877
Alaska,Denali,2059
Alaska,Dillingham,5000
Alaska,Fairbanks North Star,98971
Alaska,Haines,2474
Alaska,Hoonah-Angoon,2151
Alaska,Juneau,32113
Alaska,Kenai Peninsula,58533
Alaska,Ketchikan Gateway,13918
Alaska,Kodiak Island,13345
Alaska,Kusilvak,8303
Alaska,Lake and Peninsula,1587
Alaska,Matanuska-Susitna,107610
Alaska,Nome,10008
Alaska,North Slope,9872
Alaska,Northwest Arctic,7671
Alaska,Petersburg,3221
Alaska,Prince of Wales-Hyder,6422
Alaska,Sitka,8647
Alaska,Skagway,1148
Alaska,Southeast Fairbanks,6918
Alaska,Valdez-Cordova,9164
Alaska,Wrangell,2503
Alaska,Yakutat,604
Alaska,Yukon-Koyukuk,5327
Arizona,Apache,71818
Arizona,Cochise,126770
Arizona,Coconino,142854
Arizona,Gila,53889
Arizona,Graham,38072
Arizona,Greenlee,9483
Arizona,La Paz,21098
Arizona,Maricopa,4410824
Arizona,Mohave,209550
Arizona,Navajo,110445
Arizona,Pima,1039073
Arizona,Pinal,447138
Arizona,Santa Cruz,46511
Arizona,Yavapai,231993
Arizona,Yuma,212128
Arkansas,Arkansas,17769
Arkansas,Ashley,20046
Arkansas,Baxter,41619
Arkansas,Benton,272608
Arkansas,Boone,37480
Arkansas,Bradley,10897
Arkansas,Calhoun,5277
Arkansas,Carroll,28223
Arkansas,Chicot,10438
Arkansas,Clark,22061
Arkansas,Clay,14847
Arkansas,Cleburne,24965
Arkansas,Cleveland,8018
Arkansas,Columbia,23537
Arkansas,Conway,20891
Arkansas,Craighead,108558
Arkansas,Crawford,63406
Arkansas,Crittenden,48342
Arkansas,Cross,16676
Arkansas,Dallas,7182
Arkansas,Desha,11512
Arkansas,Drew,18328
Arkansas,Faulkner,124806
Arkansas,Franklin,17810
Arkansas,Fulton,12269
Arkansas,Garland,99154
Arkansas,Grant,18188
Arkansas,Greene,45325
Arkansas,Hempstead,21741
Arkansas,Hot Spring,33701
