Name	Cases	Cases_per_capitaTotal_Cases	Total_Cases_per_capita	Deaths	Deaths_per_capita	Total_Deaths	Total_Deaths_per_capita
Aruba	0.001	1e-08	0.4	3.78e-06	0.0	0.0	0.002	2e-08
Bolivia	42.943	3.78e-06	85.887	7.57e-06	0.258	2e-08	0.515	5e-08
Uruguay	0.027	1e-08	13.02	3.77e-06	0.0	0.0	0.078	2e-08
Belize	0.02	5e-08	1.364	3.56e-06	0.0	0.0	0.008	2e-08
Grenada	0.005	4e-08	0.402	3.6e-06	0.0	0.0	0.002	2e-08
Barbados	0.005	2e-08	1.073	3.74e-06	0.0	0.0	0.006	2e-08
Curacao	0.001	1e-08	0.603	3.77e-06	0.0	0.0	0.004	2e-08
Suriname	0.004	1e-08	2.174	3.77e-06	0.0	0.0	0.013	2e-08
Venezuela	0.222	1e-08	108.98	3.77e-06	0.001	0.0	0.654	2e-08
Guyana	0.002	0.0	2.947	3.78e-06	0.0	0.0	0.018	2e-08
