Name	Cases	Cases_per_capita	Total_Cases	Total_Cases_per_capita	Deaths	Deaths_per_capita	Total_Deaths	Total_Deaths_per_capita
Aruba	0.001	1e-08	0.4	3.77e-06	0.0	0.0	0.002	2e-08
Bolivia	0.029	0.0	42.943	3.78e-06	0.0	0.0	0.258	2e-08
Uruguay	0.035	1e-08	12.994	3.77e-06	0.0	0.0	0.078	2e-08
Belize	0.025	6e-08	1.344	3.51e-06	0.0	0.0	0.008	2e-08
Grenada	0.006	5e-08	0.397	3.56e-06	0.0	0.0	0.002	2e-08
Barbados	0.007	2e-08	1.068	3.73e-06	0.0	0.0	0.006	2e-08
Curacao	0.002	1e-08	0.602	3.77e-06	0.0	0.0	0.004	2e-08
Suriname	0.006	1e-08	2.17	3.77e-06	0.0	0.0	0.013	2e-08
Venezuela	0.296	1e-08	108.758	3.77e-06	0.002	0.0	0.653	2e-08
Guyana	0.004	1e-08	2.945	3.78e-06	0.0	0.0	0.018	2e-08
