GEOGRAPHY_ID	Latitude	Longitude	Value
90012003024	41.364744	-73.373055	90.1
90012052001	41.488312	-73.381211	97.5
90012452002	41.300794	-73.467077	70.8
90012452003	41.319154	-73.479132	95.7
90012453001	41.293613	-73.456416	94.9
90012453003	41.284093	-73.493029	84.6
90012454001	41.263554	-73.462508	133.7
90010716002	41.181796	-73.196349	264.1
90010714003	41.183947	-73.198804	157.9
90010714004	41.185397	-73.200341	133.1
90010716001	41.184585	-73.195373	245.4
90010719001	41.195616	-73.203213	241.3
90010719002	41.191719	-73.20067	201.4
90010810001	41.222401	-73.155751	99.8
90012053002	41.437178	-73.396647	88.9
90012053003	41.451281	-73.413168	87.2
90012101001	41.400968	-73.458019	95.8
90012101002	41.394998	-73.449385	94.9
90012455002	41.270781	-73.52177	130
90012456001	41.360282	-73.530252	76
90012456002	41.288121	-73.507822	72.7
90012456003	41.313295	-73.528298	99.5
90010720002	41.187461	-73.206022	183.8
90010721001	41.189995	-73.216666	122.1
90010721003	41.180815	-73.216566	146.6
90010812001	41.233187	-73.117965	104.3
90012102003	41.393535	-73.440432	157.3
90012456004	41.296988	-73.522458	79.8
90012571001	41.613474	-73.503408	100.3
90012572001	41.203247	-73.202377	137.5
90012572002	41.194794	-73.192015	140
90010722002	41.195945	-73.210519	151.4
90010722003	41.193973	-73.214259	136.6
90010723001	41.203358	-73.20714	143.9
90010723002	41.198932	-73.206447	142.4
90010723003	41.203037	-73.212283	186.3
90010724001	41.208966	-73.201209	165.8
90010813001	41.246832	-73.131348	72.6
90010813003	41.246515	-73.111748	155.4
90012103003	41.402606	-73.440486	167.3
90012104002	41.390956	-73.434375	94.8
90012104004	41.381899	-73.431034	102.2
90012105001	41.369942	-73.437917	123.2
90012572003	41.195887	-73.197341	173.9
90012572004	41.198997	-73.199825	162.1
90010724002	41.209585	-73.20547	148.2
90010725001	41.212546	-73.215288	91.6
90010725002	41.208281	-73.212059	98.6
90010901002	41.287263	-73.250588	102.3
90010902003	41.266822	-73.23491	92
90012105002	41.353974	-73.458436	99
90012106001	41.383904	-73.465779	73.8
90012106002	41.382667	-73.457351	83.2
90012106003	41.387105	-73.458921	189.7
90010603003	41.211193	-73.280762	90.6
90010604001	41.1995	-73.306179	92.5
90010604002	41.181699	-73.295321	88.5
90010604003	41.171775	-73.283657	74.7
90010726004	41.222752	-73.235936	95.1
90010726005	41.211959	-73.228826	161.5
90010727001	41.225968	-73.207215	131.2
90010727002	41.214759	-73.208042	132.3
90012106004	41.390604	-73.45726	162.3
90012107012	41.399524	-73.464468	133.7
90012107013	41.396556	-73.471967	99.7
90012107021	41.386497	-73.468571	79
90010604004	41.167694	-73.309524	84.1
90010604005	41.195134	-73.325438	83.8
90010605001	41.155009	-73.2852	84.2
90010606001	41.139112	-73.283955	110.6
90010607002	41.147077	-73.261239	94.2
90010728001	41.224439	-73.198242	99.1
90010728002	41.217875	-73.197045	202.6
90010728003	41.210812	-73.195182	190.9
90010729001	41.216106	-73.185495	102.2
90010729002	41.221654	-73.19115	120.5
90010904004	41.228466	-73.191144	129.8
90010905001	41.245708	-73.153402	94.4
90012107022	41.390499	-73.47572	122
90012108003	41.395869	-73.494013	169
90010607004	41.162216	-73.266692	108.4
90010729003	41.208007	-73.192118	119.6
90010731002	41.209897	-73.173502	200.1
90010732001	41.199521	-73.157307	104
90010907002	41.292969	-73.213286	97.2
90012109002	41.422006	-73.509898	130.3
90012109003	41.408571	-73.469713	96.7
90012110002	41.427622	-73.478071	71
90010732002	41.199779	-73.15968	129.9
90010733001	41.194838	-73.161245	220.4
90010733002	41.196553	-73.167201	223.9
90010734001	41.200568	-73.177405	167.6
90010734003	41.202783	-73.185394	132.6
90011002001	41.320343	-73.199107	84.5
90011002002	41.3086	-73.220255	88
90011002004	41.331716	-73.221468	78.4
90012113001	41.445838	-73.445831	79.8
90010612001	41.179606	-73.224896	81.8
90010612002	41.181751	-73.232609	87.5
90010613001	41.175294	-73.231124	101
90010613002	41.173877	-73.239615	81.5
90010735001	41.196816	-73.182355	201
90010735002	41.193029	-73.183216	175.8
90010735003	41.19529	-73.184959	231.1
90010736001	41.194455	-73.177717	198.3
90011003002	41.341963	-73.192365	77.7
90011051001	41.233168	-73.263024	123.6
90011052002	41.285673	-73.287781	111.5
90012113003	41.441636	-73.436266	116.9
90012114001	41.430746	-73.428211	78.7
90012114002	41.447087	-73.427341	108.3
90012114003	41.422319	-73.420856	65.4
90010614002	41.167362	-73.237612	95.1
90010615001	41.154024	-73.24035	146
90010616001	41.137264	-73.264706	72.9
90010737003	41.190196	-73.163451	174.4
90010737004	41.191454	-73.168643	136.9
90010737005	41.188779	-73.168872	125.4
90010738001	41.190175	-73.175898	149.3
90010738002	41.188112	-73.176438	104.1
90011102011	41.30204	-73.07854	93.2
90011102021	41.292759	-73.089266	221.6
90011102022	41.277148	-73.094239	209
90012201003	41.450671	-73.524399	95.3
90012201004	41.464062	-73.509055	91.4
90012202001	41.494752	-73.495944	71.2
90010616002	41.131092	-73.255091	114.8
90010616003	41.126782	-73.269031	116.1
90010701001	41.155218	-73.22345	222
90010701003	41.1547	-73.228366	121.2
90010701004	41.158021	-73.229301	119.4
90010738003	41.189804	-73.178993	120.1
90010739001	41.190496	-73.1826	120
90010739002	41.187738	-73.18267	173.6
90010739003	41.186232	-73.18633	218.8
90010739004	41.190055	-73.185757	115.7
90010740001	41.182438	-73.180944	187.2
90010740002	41.181587	-73.17741	145.9
90012203001	41.521653	-73.470862	103.1
90012203002	41.487018	-73.45847	95.8
90012301002	41.442759	-73.311749	103.8
90010702001	41.161921	-73.22484	130.6
90010702002	41.163873	-73.22144	137.8
90010702003	41.15867	-73.219191	181.1
90010703001	41.160754	-73.21476	215.2
90010705001	41.167282	-73.191851	175
90010743001	41.18634	-73.159732	166.9
90010743002	41.182201	-73.158335	109
90010743003	41.180505	-73.162622	152.2
90010743004	41.178543	-73.168002	157.3
90010743005	41.181	-73.168064	143.4
90010743006	41.182831	-73.16868	122.4
90011103022	41.269651	-73.130548	88.6
90011104001	41.294908	-73.161871	111.3
90012302001	41.413873	-73.304276	93.1
90012303003	41.387196	-73.321197	118.5
90010705002	41.167522	-73.196366	213.2
90010706001	41.177971	-73.193067	236.6
90010706002	41.167732	-73.187421	227.7
90010709001	41.170459	-73.203877	159.7
90010709002	41.17138	-73.198856	186.7
90010710001	41.171339	-73.218595	126.6
90010744001	41.179957	-73.157483	135.6
90010744002	41.177069	-73.162353	133.4
90010744003	41.172159	-73.168866	185.4
90010744004	41.176011	-73.16636	169.5
90010801001	41.200673	-73.150037	105.6
90010801003	41.193386	-73.151688	140.3
90011105004	41.309581	-73.141151	77.3
90012304001	41.384815	-73.294462	118.4
90012304002	41.36671	-73.293527	94.8
90012304003	41.368872	-73.348572	194.7
90012305011	41.406865	-73.223661	89.3
90010710002	41.172463	-73.214353	184.7
90010712001	41.180827	-73.207841	133.3
90010712002	41.179002	-73.205237	206.9
90010801004	41.199783	-73.15404	140.2
90010802001	41.190012	-73.142391	106.3
90010802002	41.189527	-73.147431	86.6
90010802003	41.188494	-73.152008	121.6
90010804001	41.182524	-73.140233	153.5
90010804002	41.177371	-73.137682	151.9
90012002001	41.381013	-73.410319	87.5
90012305021	41.375831	-73.251305	105.6
90012305023	41.379858	-73.219021	96.8
