NAME	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16
"100015  ESTs, Moderately similar to RDHUD dihydrofolate reductase [H.sapiens] Hs.374327 R00884 DHFR=Dihydrofolate reductase  "	-0.74	-0.2	0.3	-0.06	0.22	-0.32	-0.38	-0.12	0.04	0.74	0.19	-0.51	-0.06	0.4	-0.4	0.13
100040 POLRMT polymerase (RNA) mitochondrial (DNA directed) Hs.153880 R31115  5442 	0.19	0.16	0.4	0.66	1.02	0.03	0.47	-0.44	-0.62	-0.25	-0.67	-0.35	0.45	-0.36	-1.19	0.31
100044 JUNB jun B proto-oncogene Hs.198951 T99236  3726 	0.34	0.46	0.72	2.46	0.84	1.58	0.48	1.44	-1.79	-0.4	0.19	-0.39	-0.97	-0.85	-2.06	-0.12
100069 KIAA0179 KIAA0179 protein Hs.152629 AA644334  23076 	-0.15	0.71	0.13	0.14	-0.42	-0.19	1.05	-0.14	0.63	-0.6	1.18	0.84	1.03	0.67	0.81	1.48
100072 NFS1 NFS1 nitrogen fixation 1 (S. cerevisiae) Hs.194692 AA476244  9054 	-0.2	0.63	1.06	-0.16	-0.2	-0.22	-0.01	0.27	-0.09	0.11	-0.24	0.04	0.28	-0.41	0.47	0.46
100099 TYMS **thymidylate synthetase Hs.82962 N66132  7298 	-0.28	-0.8	0.65	-0.7	0.29	-0.15	0.18	-0.59	-0.14	0.61	-0.55	0.78	-0.28	1.49	1.18	1.17
100111  Homo sapiens mRNA; cDNA DKFZp434A012 (from clone DKFZp434A012) Hs.306327 AA039230   	0	-0.15	0.18	-0.01	0.35	-0.09	-0.13	0.04	-0.05	0.87	-0.29	0.35	-0.12	0.09	0.89	0.22
100118 NS1-BP NS1-binding protein Hs.197298 AA486796  10625 	-0.03	1.08	1.57	0.61	0.61	-0.29	0.55	1.02	-0.31	-0.13	-0.49	0.94	0.49	0.51	-0.33	-0.48
100162 FLJ10535 hypothetical protein FLJ10535 Hs.267963 AA455478  55163 	0	1.24	0.41	0.94	0.88	-0.06	-0.42	-1.27	-0.39	0.14	-2.33	0.83	-1.68	-0.49	0.02	0.47
"100185 TNFRSF12 tumor necrosis factor receptor superfamily, member 12 (translocating chain-association membrane protein) Hs.180338 W71984 DR3=Apo-3=death receptor 3 8718 "	0.82	0.54	-0.04	0.52	0.99	0.43	0.85	1.06	-0.48	-0.63	-0.37	-0.35	-0.04	-0.07	0.06	-0.22
100223 PTOV1 prostate tumor over expressed gene 1 Hs.19555 AA486332  53635 	1.14	1.24	0.11	0.24	0.62	0.57	0.22	-0.26	-0.52	0	-0.95	0.28	-0.65	-0.24	-0.02	-0.01
100233 LOC54543 6.2 kd protein Hs.112318 AA069704  54543 	-0.17	-0.79	0.53	0.31	0.43	-0.12	0.28	0	0.08	-0.66	-0.35	0.85	0.6	0.33	0.44	0.5
100234 FOSL2 FOS-like antigen 2 Hs.301612 AA101616  2355 	0.53	1.3	1.34	1.27	0.84	1.04	1.78	2.34	-1.19	-1.17	-1.67	-1.35	-3.99	-1.72	0	-2.03
100247 KNSL4 kinesin-like 4 Hs.119324 AA430503  3835 	-0.48	0.71	0.25	-0.44	0.27	-0.02	-0.59	0.47	-0.51	0.44	-0.25	1.19	0.84	0.53	1.21	0.15
