ORF	NAME	alpha 0	alpha 7	alpha 14	alpha 21	alpha 28	alpha 35	alpha 42	alpha 49	alpha 56	alpha 63	alpha 70	alpha 77	alpha 84	alpha 91	alpha 98	alpha 105	alpha 112	alpha 119	Elu 0	Elu 30	Elu 60	Elu 90	Elu 120	Elu 150	Elu 180	Elu 210	Elu 240	Elu 270	Elu 300	Elu 330	Elu 360	Elu 390	cdc15 10	cdc15 30	cdc15 50	cdc15 70	cdc15 90	cdc15 110	cdc15 130	cdc15 150	cdc15 170	cdc15 190	cdc15 210	cdc15 230	cdc15 250	cdc15 270	cdc15 290	spo 0	spo 2	spo 5	spo 7	spo 9	spo 11	spo5 2	spo5 7	spo5 11	spo- early	spo- mid	heat 0	heat 10	heat 20	heat 40	heat 80	heat 160	dtt 15	dtt 30	dtt 60	dtt 120	cold 0	cold 20	cold 40	cold 160	diau a	diau b	diau c	diau d	diau e	diau f	diau g
YBR166C	TYR1   TYROSINE BIOSYNTHESIS    PREPHENATE DEHYDROGENASE (NADP+	0.33	-0.17	0.04	-0.07	-0.09	-0.12	-0.03	-0.2	-0.06	-0.06	-0.14	-0.18	-0.06	-0.25	0.06	-0.12	0.25	0.43	0.21	-0.04	-0.15	-0.04	0.21	-0.14	-0.03	-0.07	-0.36	-0.14	-0.42	-0.34	-0.23	-0.17	0.23	0.3	0.41	-0.07	-0.23	-0.12	0.16	0.74	0.14	-0.49	-0.32	0.19	0.23	0.24	0.28	1.13	-0.12	0.1		0.66	0.62	0.08	0.62	0.43	0.5	-0.25	-0.51	-0.67	0.21	-0.74	-0.36	-0.01	0.38	0.15	-0.22	-0.09	0.33	0.08	0.39	-0.17	0.23	0.2	0.2	-0.17	-0.69	0.14	-0.27
YOR357C	GRD19  SECRETION                GOLGI PROTEIN RETENTION	-0.64	-0.38	-0.32	-0.29	-0.22	-0.01	-0.32	-0.27	-0.51	-0.67	-0.62	-0.58	-0.38	-0.94	-0.34	-0.92	-0.15	0.03	0.16	-0.34	-0.32	-0.34	-0.12	-0.34	-0.27	-0.15	-0.15	-0.51	-0.3	-0.25	-0.12	-0.4	0.98	0.99	0.25	0.15	0.08	0.23	0.18	-0.29	-0.45	0.01	-0.34	-1.12	-0.54	-0.94	-1.09	-0.45	-0.23	-0.36	0.08	0.28	0.18	-0.12		0.25	-0.22	-0.04	-0.25	0.04	-0.03	-0.07	-0.04	0.73	-0.06	0.54	-0.09	-0.29	-0.1	0.36	-0.2	-0.34	-0.14	-0.09	0.06	-0.17	0.04	-0.97	-1.79
YLR292C	SEC72  SECRETION                ER PROTEIN TRANSLOCATION SUBCOMPLEX SUBUNIT	-0.23	0.19	-0.36	0.14	-0.4	0.16	-0.09	-0.12	-0.14	-0.14	-0.38	-0.22	0.12	-0.43	-0.42	-0.45	-0.17	-0.27	0.29	-0.09	0.4	-0.1	0.46	0.15	-0.17	-0.18	-0.07	-0.34	0.3	-0.12	-0.06	-0.17	0.07	0.38	0.34		-0.15	-0.2	0.19	0.37	0.24	-0.07		0.24	0.45	0.23	0.5	-0.07		0.66	0.94	0.46	0.06	-0.18	0.39	-0.18	0.16	0.55	-0.06	-0.94	0.21	-0.71	-0.86	-0.45	0.42	1.04	0.65	0.53	-0.47	0.21	-0.29	-0.36	-0.1	-0.29	-0.18	-0.34	-0.47	-0.43	-1.06
YGL112C	TAF60  TRANSCRIPTION            TFIID 60 KD SUBUNIT	-0.69	-0.89	-0.74	-0.56	-0.64	-0.18	-0.42	-0.34		0.01	-0.1	-0.17	-0.12	-0.43	-0.18	0.06	-0.2	-0.22	-0.04	0.34	0.42	-0.04	-0.14	0.15	0.26	0.4	0.24	0.25	0.37	-0.04	-0.27	0.11	-0.15	-0.07	0.06	0.23	0.07	-0.12	-0.12		0.04	0.25	0.1	0.3	-0.12	-0.23	-0.12	0.19	0.24		0.41	0.36	0.98	-0.04	0.18	0.24	0.44	0.32	-0.22	-0.71	-0.34	-0.45	-0.3	-0.45	0.58	-0.22	0.1	0.19	-0.32	-0.01	-0.29	0.31	0.21	0.07	0.18	-0.14	-0.2	-0.43	-1.51
YIL118W	RHO3   CYTOSKELETON             GTP-BINDING PROTEIN, RHO FAMILY	0.04	0.01	-0.81		-0.3	0.49	0.08	0.19	-0.03	-0.32	-0.34	-0.22	-0.03	-0.06	0.06	0.07	0.1	0.03	-0.18	-0.2	-0.12	0.16	-0.17	0.1	-0.14	-0.01	-0.15	0.04	0.23	-0.04	0.07	0.06	0.7	0.36	0.37	0.3	-0.04	0.19	-0.45	0.21	-1.12	-0.04	0.3	0.88	-0.49	-0.23	-0.04	-0.2	0.45	0.52	0.62	0.48	0.65	-0.14	-0.14	-0.49	-0.04	0.14	-0.1	-0.2	0.01	-0.4	-0.23	-0.04	0.25	-0.27	0.1	0.1	-0.2	0.28	-0.17	0.26	0.07	-0.17		-0.1	-0.23	-0.51	-1.4
YDL120W	YFH1   IRON HOMEOSTASIS, MITOCH FRATAXIN HOMOLOG	0.11	0.32	0.03	0.32	0.03	-0.12	0.01	-0.36	-0.01	-0.17	-0.22	-0.22	-0.1	-0.51	-0.25	-0.38	-0.27	-0.2	-0.45	0.82	-0.12	-0.43	-0.1	-0.1	-0.64	0.08	0.1	0.2	0.2	0.16	0.2	0.2	-0.2	-0.14	0.19	0.15	0.3	0.14		-0.14	-0.18	0.01	0.03	-0.38	0.2	0.19	0.41	-0.4	-0.07		0.74	-0.09	0.38	-0.64	-0.04	-0.1	-0.23	-0.56	-0.25	-1	-0.25	-0.62	-0.64	-0.36	-0.3	-0.12	0.16	-0.34	-0.17	0.39	-0.06	-0.67	0.04	-0.22	-0.12	-0.15	-0.67	-0.38	-0.27
YHL025W	SNF6   TRANSCRIPTION            COMPONENT OF SWI/SNF GLOBAL ACTIVATOR COMPLEX	-0.47	1	-0.51	-0.25	-0.71	-0.22	-0.3	-0.36	-0.1	0.08		-0.27	-0.23	-0.45	-0.32	-0.17	-0.56	-0.01	0.44	0.26	0.4	0.12	-0.03	0.07	0.16	0.58	0.33	0.2	0.14	0.2	0.34	0.21	0.82	0.52	0.48	0.77	0.14	0.55	0.37	0.25	0.29	0.18	0.07	0.73	0.37	-0.01	0.24	0.25	-0.1	0.11	0.21	0.08	0.12	-0.14	0.39	0.28	-0.1	-0.4	0.43	-0.1	-0.01	-0.2	-0.18	-0.1	-0.22	-0.43	-0.17	0.04	-0.06	0.24	-0.04	-0.4	-0.38	-0.56	0.11	-0.27	-0.58	0.48	0.19
YGL248W	PDE1   PURINE METABOLISM        3',5'-CYCLIC-NUCLEOTIDE PHOSPHODIESTERASE	-0.25	0.26	0.01	-0.06	-0.42	-0.07	-0.3	-0.18	-0.1	-0.27	-0.29	-0.04	0.04	-0.18	-0.1	-0.03	-0.4	0.03	0.32	-0.09	0.38	-0.38	-0.29	-0.56	-0.36	0.03	0.06	-0.04	-0.01	0.19	0.21	0.26	0.24	0.03	0.52	0.5	0.2		-0.15	0.08	0.14	-0.09	0.23	0.4	0.34	0.29	0.58	0.1	-0.54	-0.34	0.62	0.37	0.36	-0.56	0.93	0.33	0.26	0.04	0.24	0.96	0.28	0.34	0.58	0.86	0.06	-0.17	0.32	0.18	0.12	0.29	-0.14	-1.18	-0.23	-0.47	0.32	0.04	-0.06	0.63	0.3
YIL146C	ECM37  CELL WALL BIOGENESIS     UNKNOWN	-0.58	-0.29	-0.45	-0.15	-0.86	-0.36	-0.54	-0.47	-0.29	0.08	-0.58	-0.43	-0.38	-0.36	-0.43	-0.3	-0.32	-0.22	0.08	0.32	0.03	0.16	-0.09	-0.14		0.08	-0.07	0.11	-0.23	-0.12	-0.01	0.15	0.56	0.46	0.18	0.36	0.42	0.24	0.34	0.42	0.86	0.7	0.15	-0.03	0.19	0.14	0.18	0.03	-0.32	0.69	1.56	1.14	1.15	-0.86	0.74	0.28	0.79	0.96	1.29	0.08	0.44	0.04	0.32	0.46	-0.3	-0.2	-0.51	-0.09	-0.07	2.46	0.23	0.37	-0.15	-0.42	-0.14	-0.64	-0.62	0.69	1.09
YJR106W	ECM27  CELL WALL BIOGENESIS     UNKNOWN	-0.36	-0.17	-0.22	-0.34	-0.36	0.03	-0.2	-0.42	-0.15	0.06	-0.2	-0.1	-0.15	-0.4	-0.3	-0.14	-0.64	-0.15	-0.03	0.1	-1.03	-0.23	-0.23	-0.18	-0.17	0.1	-0.03	0.11		0.07	-0.03	0.26	-0.04	0.75	0.7	0.14	-0.06	-0.2	0.07	0.44	0.37	-0.01	0.15	0.03	-0.51	-0.49	-0.2	-0.23	-0.64	0.11	0.89	0.52	0.87	-0.86	0.57	0.19	-0.27	-0.22	0.39	0.42	0.55	0.46	0.37	-0.06	-0.56	0.07	0.1	0.19	-0.54		-0.14	-0.14	-0.15	-0.18	0.33	0.16	-0.3	0.49	0.44
