Name	Confirmed	Deaths	Recovered	Active
Madagascar	12	0	0	12
Swaziland	4	0	0	4
Liberia	3	0	0	3
Sudan	2	1	0	1
Guinea	4	0	0	4
Republic of the Congo	4	0	0	4
Democratic Republic of the Congo	36	1	0	35
Rwanda	36	0	0	36
Somalia	1	0	0	1
Ivory Coast	25	0	2	23
Nigeria	40	1	2	37
Cameroon	56	0	2	54
Burkina Faso	99	4	5	90
Benin	5	0	0	5
Ghana	27	2	0	25
Algeria	230	17	65	148
Zambia	3	0	0	3
Cape Verde	3	0	0	3
Togo	18	0	0	18
Zimbabwe	3	1	0	2
Senegal	79	0	8	71
Eritrea	1	0	0	1
Gambia	2	1	0	1
Central African Republic	3	0	0	3
Mauritius	36	2	0	34
Morocco	143	4	5	134
Mauritania	2	0	0	2
Gabon	5	1	0	4
United Republic of Tanzania	12	0	0	12
Namibia	4	0	0	4
Seychelles	7	0	0	7
Angola	3	0	0	3
Chad	1	0	0	1
Equatorial Guinea	9	0	0	9
Egypt	366	19	68	279
South Africa	402	0	4	398
Tunisia	89	3	1	85
Djibouti	3	0	0	3
Mozambique	1	0	0	1
Uganda	9	0	0	9
Ethiopia	11	0	0	11
Kenya	16	0	0	16
Niger	3	0	0	3
