Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Tests	Tests_per_capita
Madagascar	43	0	0	43	1.64e-6	0	215	86	53.75	8.2e-6	3.28e-6	2.05e-6	NA	NA
Swaziland	9	0	0	9	7.92e-6	0	45	18	11.25	3.96e-5	1.584e-5	9.9e-6	NA	NA
Liberia	3	0	0	3	6.2e-7	0	15	6	3.75	3.1e-6	1.24e-6	7.75e-7	NA	NA
Sudan	6	2	0	4	1.4e-7	5e-8	666.666666667	307.692307692	200	1.66666666667e-5	7.69230769231e-6	5e-6	NA	NA
Guinea	22	0	0	22	1.77e-6	0	110	44	27.5	8.85e-6	3.54e-6	2.2125e-6	NA	NA
United Republic of Tanzania	19	0	1	18	3.4e-7	0	95	38	23.75	1.7e-6	6.8e-7	4.25e-7	NA	NA
Republic of the Congo	19	0	0	19	3.62e-6	0	95	38	23.75	1.81e-5	7.24e-6	4.525e-6	NA	NA
Democratic Republic of the Congo	81	8	2	71	9.6e-7	1e-7	2666.66666667	1230.76923077	800	3.33333333333e-5	1.53846153846e-5	1e-5	NA	NA
Rwanda	70	0	0	70	5.69e-6	0	350	140	87.5	2.845e-5	1.138e-5	7.1125e-6	NA	NA
Somalia	3	0	0	3	2e-7	0	15	6	3.75	1e-6	4e-7	2.5e-7	NA	NA
Ivory Coast	168	1	6	161	6.7e-6	4e-8	333.333333333	153.846153846	100	1.33333333333e-5	6.15384615385e-6	4e-6	NA	NA
Nigeria	131	2	8	121	6.7e-7	1e-8	666.666666667	307.692307692	200	3.33333333333e-6	1.53846153846e-6	1e-6	NA	NA
Cameroon	139	6	5	128	5.51e-6	2.4e-7	2000	923.076923077	600	8e-5	3.69230769231e-5	2.4e-5	NA	NA
Burkina Faso	246	12	31	203	1.245e-5	6.1e-7	4000	1846.15384615	1200	2.03333333333e-4	9.38461538462e-5	6.1e-5	NA	NA
Benin	6	0	0	6	5.2e-7	0	30	12	7.5	2.6e-6	1.04e-6	6.5e-7	NA	NA
Ghana	152	5	2	145	5.11e-6	1.7e-7	1666.66666667	769.230769231	500	5.66666666667e-5	2.61538461538e-5	1.7e-5	NA	NA
Algeria	584	35	37	512	1.383e-5	8.3e-7	11666.6666667	5384.61538462	3500	2.76666666667e-4	1.27692307692e-4	8.3e-5	NA	NA
