NAME	 infected
El Encanto, AM	 569
La Chorrera, AM	 771
La Pedrera, AM	 531
Leticia, AM	 421
Miriti-Parana, AM	 959
Puerto Narino, AM	 805
Puerto Santander, AM	 902
Tarapaca, AM	 336
Abejorral, AN	 29
Abriaqui, AN	 344
Alejandria, AN	 20
Amaga, AN	 234
Amalfi, AN	 158
Andes, AN	 216
Angelopolis, AN	 887
Angostura, AN	 361
Anori, AN	 111
Anza, AN	 601
Apartado, AN	 748
Arboletes, AN	 725
Argelia, AN	 146
Armenia, AN	 26
Barbosa, AN	 349
Bello, AN	 855
Belmira, AN	 57
Betania, AN	 857
Betulia, AN	 906
Bolivar, AN	 27
Briceno, AN	 241
Buritica, AN	 419
Caceres, AN	 888
Caicedo, AN	 859
Caldas, AN	 131
Campamento, AN	 891
Canasgordas, AN	 840
Caracoli, AN	 395
Caramanta, AN	 610
Carepa, AN	 345
Carolina del Principe, AN	 14
Caucasia, AN	 743
Chigorodo, AN	 343
Cisneros, AN	 567
Cocorna, AN	 44
Concepcion, AN	 425
Concordia, AN	 164
Copacabana, AN	 854
Dabeiba, AN	 26
Don Matias, AN	 771
Ebejico, AN	 278
El Bagre, AN	 147
El Carmen de Viboral, AN	 340
El Santuario, AN	 406
Entrerrios, AN	 942
Envigado, AN	 830
Fredonia, AN	 263
Frontino, AN	 754
Giraldo, AN	 336
Girardota, AN	 157
Gomez Plata, AN	 312
Granada, AN	 411
Guadalupe, AN	 557
Guarne, AN	 593
Guatape, AN	 292
Heliconia, AN	 645
Hispania, AN	 698
Itagui, AN	 522
Ituango, AN	 676
Jardin, AN	 484
Jerico, AN	 538
La Ceja, AN	 290
La Estrella, AN	 984
La Union de Sucre, AN	 74
Liborina, AN	 412
Maceo, AN	 695
Marinilla, AN	 360
Medellin, AN	 575
Montebello, AN	 412
Murindo, AN	 781
Mutata, AN	 342
Narino, AN	 913
Nechi, AN	 409
Necocli, AN	 945
Olaya, AN	 859
Penol, AN	 96
Peque, AN	 92
Pueblorrico, AN	 982
Puerto Berrio, AN	 133
Puerto Nare, AN	 936
Puerto Triunfo, AN	 153
Remedios, AN	 162
Retiro, AN	 999
Rionegro, AN	 449
Sabanalarga, AN	 530
Sabaneta, AN	 971
Salgar, AN	 121
San Andres de Cuerquia, AN	 289
San Carlos, AN	 570
San Francisco, AN	 462
San Jeronimo, AN	 494
San Jose de la Montana, AN	 170
San Juan de Uraba, AN	 168
San Luis, AN	 866
San Pedro de los Milagros, AN	 20
San Pedro de Uraba, AN	 861
San Rafael, AN	 585
San Roque, AN	 690
San Vicente, AN	 588
Santa Barbara, AN	 872
Santa Fe de Antioquia, AN	 763
Santa Rosa de Osos, AN	 310
Santo Domingo, AN	 886
Segovia, AN	 456
Sonson, AN	 408
Sopetran, AN	 229
Tamesis, AN	 250
Taraza, AN	 254
Tarso, AN	 112
Titiribi, AN	 481
Toledo, AN	 534
Turbo, AN	 803
Uramita, AN	 138
Urrao, AN	 525
Valdivia, AN	 595
Valparaiso, AN	 384
Vegachi, AN	 790
Venecia, AN	 1
Vigia del Fuerte, AN	 494
Yali, AN	 907
Yarumal, AN	 845
Yolombo, AN	 404
Yondo, AN	 465
Zaragoza, AN	 585
Arauca, AR	 836
Arauquita, AR	 424
Cravo Norte, AR	 986
Fortul, AR	 398
Puerto Rondon, AR	 646
Saravena, AR	 262
Tame, AR	 873
Baranoa, AT	 849
Barranquilla, AT	 605
Campo de la Cruz, AT	 314
Candelaria, AT	 189
Galapa, AT	 737
Juan de Acosta, AT	 902
Luruaco, AT	 984
Malambo, AT	 626
Manati, AT	 422
Palmar de Varela, AT	 269
Piojo, AT	 132
Polonuevo, AT	 692
Ponedera, AT	 340
Puerto Colombia, AT	 623
Repelon, AT	 28
Sabanagrande, AT	 842
Sabanalarga, AT	 608
Santa Lucia, AT	 431
Santo Tomas, AT	 91
Soledad, AT	 187
Suan, AT	 254
Tubara, AT	 793
Usiacuri, AT	 783
Achi, BL	 537
Altos del Rosario, BL	 623
Arjona, BL	 902
Barranco de Loba, BL	 41
Calamar, BL	 666
Cantagallo, BL	 632
Cartagena de Indias, BL	 227
Cicuco, BL	 643
Cordoba, BL	 787
El Carmen de Bolivar, BL	 767
El Guamo, BL	 369
Hatillo de Loba, BL	 914
Mahates, BL	 526
Margarita, BL	 135
Maria la Baja, BL	 313
Mompos, BL	 683
Montecristo, BL	 392
Morales, BL	 996
Pinillos, BL	 648
Rio Viejo, BL	 594
San Estanislao de Kostka, BL	 686
San Fernando, BL	 733
San Jacinto, BL	 13
San Juan Nepomuceno, BL	 856
San Martin de Loba, BL	 579
San Pablo, BL	 694
Santa Catalina, BL	 385
Santa Rosa, BL	 452
Santa Rosa del Sur, BL	 376
Simiti, BL	 537
Soplaviento, BL	 365
Talaigua Nuevo, BL	 327
Turbaco, BL	 281
Turbana, BL	 225
Villanueva, BL	 514
Zambrano, BL	 576
Almeida, BY	 111
Aquitania, BY	 476
Arcabuco, BY	 349
Belen, BY	 937
Berbeo, BY	 163
Beteitiva, BY	 886
Boavita, BY	 722
Boyaca, BY	 981
Briceno, BY	 524
Buenavista, BY	 523
Busbanza, BY	 443
Caldas, BY	 771
Campohermoso, BY	 704
Cerinza, BY	 378
Chinavita, BY	 136
Chiquinquira, BY	 458
Chiquiza, BY	 439
Chiscas, BY	 673
Chita, BY	 697
