Name	Confirmed	Deaths	Recovered	Active
Lancaster	6	0	0	0
Bradford	0	0	0	0
Perry	0	0	0	0
Cumberland	11	0	0	0
Bedford	0	0	0	0
Union	0	0	0	0
Washington	7	0	0	0
Delaware	43	0	0	0
Philadelphia	96	0	0	0
Montgomery	110	1	0	0
Lawrence	0	0	0	0
Wayne	2	0	0	0
Forest	0	0	0	0
Butler	1	0	0	0
Indiana	0	0	0	0
Somerset	0	0	0	0
Warren	0	0	0	0
Dauphin	1	0	0	0
Mifflin	0	0	0	0
Juniata	0	0	0	0
Wyoming	0	0	0	0
Tioga	0	0	0	0
Montour	1	0	0	0
Columbia	1	0	0	0
Centre	1	0	0	0
Susquehanna	0	0	0	0
Crawford	0	0	0	0
Blair	0	0	0	0
Fayette	1	0	0	0
Cambria	0	0	0	0
York	10	0	0	0
Franklin	1	0	0	0
Carbon	0	0	0	0
Potter	1	0	0	0
Venango	0	0	0	0
Luzerne	7	0	0	0
Pike	3	0	0	0
Mc Kean	0	0	0	0
Snyder	0	0	0	0
Adams	5	0	0	0
Clearfield	0	0	0	0
Northumberland	0	0	0	0
Clarion	0	0	0	0
Greene	0	0	0	0
Jefferson	0	0	0	0
Westmoreland	4	0	0	0
Bucks	34	0	0	0
Berks	13	0	0	0
Elk	0	0	0	0
Fulton	0	0	0	0
Lackawanna	6	0	0	0
Clinton	0	0	0	0
Armstrong	0	0	0	0
Sullivan	0	0	0	0
Lycoming	0	0	0	0
Huntingdon	0	0	0	0
Northampton	21	1	0	0
Lebanon	3	0	0	0
Schuylkill	1	0	0	0
Lehigh	19	1	0	0
Cameron	0	0	0	0
Beaver	3	0	0	0
Allegheny	40	1	0	0
Erie	2	0	0	0
Mercer	1	0	0	0
Monroe	31	0	0	0
Chester	23	0	0	0
