Name	Predicted_New_Cases	Total_Predicted_New_Cases
Potter	0.0	0.0
Cumberland	0.006	429.283
Wayne	5.624	5514.58
Fulton	0.0	0.0
Dauphin	0.035	1682.894
Huntingdon	0.118	300.266
Somerset	0.839	919.604
Cameron	0.0	0.0
Tioga	0.0	0.0
Bedford	0.0	0.0
Erie	0.937	926.765
Bucks	0.02	3314.67
Carbon	8.814	9655.833
Bradford	0.42	459.799
Schuylkill	0.062	1690.97
Monroe	0.461	8298.959
Indiana	1.686	3011.252
Cambria	0.937	918.765
Mifflin	0.369	1198.551
Columbia	0.92	1644.494
Blair	0.0	0.0
Lehigh	28.249	50492.237
Northampton	19.875	35514.721
Mc Kean	0.0	0.0
Venango	0.0	0.0
Franklin	0.005	226.657
Montour	2.812	2756.292
Union	0.185	599.28
Lancaster	14.262	25464.69
Westmoreland	0.016	1169.19
Perry	0.118	300.266
Philadelphia	0.495	29942.364
Clearfield	0.42	459.799
Berks	0.055	3298.376
Warren	0.0	0.0
Sullivan	0.0	0.0
Clinton	0.0	0.0
Snyder	0.472	1201.077
York	4.23	8866.638
Armstrong	0.839	919.604
Lebanon	13.769	16890.167
Juniata	1.679	1839.206
Luzerne	74.011	90795.912
