Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Confirmed_daily	Deaths_daily	Confirmed_change	Deaths_change	Tests	Tests_per_capita
British Columbia	617	13	0	0	0.0001229	2.59e-06	4333.33333333	2000	1300	0.000863333333333	0.000398461538462	0.000259	0	0	-100	0	31739	0.00621
Newfoundland and Labrador	35	0	0	0	6.682e-05	0.0	175	70	43.75	0.0003341	0.00013364	8.3525e-05	0	0	-100	0	NA	NA
Grand Princess	13	0	0	0	N/A	N/A	65	26	16.25	N/A	N/A	N/A	0	0	100	0	NA	NA
Prince Edward Island	5	0	0	0	3.231e-05	0.0	25	10	6.25	0.00016155	6.462e-05	4.03875e-05	2	0	100	0	NA	NA
Diamond Princess	0	1	0	0	N/A	N/A	333.333333333	153.846153846	100	N/A	N/A	N/A	0	0	100	0	NA	NA
Ontario	688	8	0	0	4.762e-05	5.5e-07	2666.66666667	1230.76923077	800	0.000183333333333	8.46153846154e-05	5.5e-05	100	1	17.6	0	35635	0.002422
Nova Scotia	68	0	0	0	7e-05	0.0	340	136	85	0.00035	0.00014	8.75e-05	17	0	70	0	NA	NA
Quebec	1342	6	0	0	0.00015913	7.1e-07	2000	923.076923077	600	0.000236666666667	0.000109230769231	7.1e-05	329	2	-14.5	0	27973	0.003276
Saskatchewan	72	0	0	0	6.162e-05	0.0	360	144	90	0.0003081	0.00012324	7.7025e-05	0	0	-100	0	NA	NA
Alberta	358	2	0	0	8.238e-05	4.6e-07	666.666666667	307.692307692	200	0.000153333333333	7.07692307692e-05	4.6e-05	-1	1	-101.7	0	35089	0.007951
Manitoba	35	0	0	0	2.573e-05	0.0	175	70	43.75	0.00012865	5.146e-05	3.21625e-05	14	0	1300	0	NA	NA
New Brunswick	18	0	0	0	2.331e-05	0.0	90	36	22.5	0.00011655	4.662e-05	2.91375e-05	0	0	-100	0	1550	0.001987
