Name	Predicted_New_Cases	Total_Predicted_New_Cases
Baltimore City	26.196	2908.357
Somerset	0.0	0.0
Montgomery	13.268	2246.482
Caroline	0.0	2.0
Queen Anne's	16.517	647.327
Frederick	13.43	1409.746
Washington	4.659	411.953
Prince George's	51.167	6402.928
Calvert	1.242	162.591
Garrett	0.0	0.0
Worcester	41.292	1614.314
Talbot	24.775	968.991
Kent	0.0	0.0
Howard	2.994	499.336
Dorchester	0.0	0.0
Wicomico	16.517	645.327
Charles	113.584	6138.621
Baltimore	68.265	6395.939
Saint Mary's	26.94	1363.791
Carroll	56.792	3068.31
Allegany	0.042	10.977
Anne Arundel	16.04	1880.154
