Adams,20348
Ashland,15600
Barron,45164
Bayfield,15042
Brown,263378
Buffalo,13125
Burnett,15392
Calumet,50159
Chippewa,64135
Clark,34709
Columbia,57358
Crawford,16291
Dane,542364
Dodge,87847
Door,27610
Douglas,43208
Dunn,45131
Eau Claire,104534
Florence,4321
Fond du Lac,103066
Forest,8991
Grant,51554
Green,36929
Green Lake,18918
Iowa,23771
Iron,5676
Jackson,20478
Jefferson,85129
Juneau,26617
Kenosha,169290
Kewaunee,20383
La Crosse,118230
Lafayette,16665
Langlade,19268
Lincoln,27689
Manitowoc,79074
Marathon,135428
Marinette,40434
Marquette,15434
Menominee,4658
Milwaukee,948201
Monroe,46051
Oconto,37830
Oneida,35470
Outagamie,187365
Ozaukee,89147
Pepin,7289
Pierce,42555
Polk,43598
Portage,70942
Price,13397
Racine,196584
Richland,17377
Rock,163129
Rusk,14147
Saint Croix,89694
Sauk,64249
Sawyer,16489
Shawano,40796
Sheboygan,115456
Taylor,20412
Trempealeau,29442
Vernon,30785
Vilas,21938
Walworth,103718
Washburn,15878
Washington,135693
Waukesha,403072
Waupaca,51128
Waushara,24263
Winnebago,171020
Wood,73055
