Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Date	Confirmed_daily	Deaths_daily	Tests	Tests_per_capita	Confirmed_change	Deaths_change
Canada	0	0	0	NA	0	0	0	0	0	0	0	0	2020-01-22	NA	NA	NA	NA	NA	NA
United States of America	1	0	0	NA	0	0	5	2	1.25	0	0	0	2020-01-22	NA	NA	NA	NA	NA	NA
United Kingdom	0	0	0	NA	0	0	0	0	0	0	0	0	2020-01-22	NA	NA	NA	NA	NA	NA
Italy	0	0	0	NA	0	0	0	0	0	0	0	0	2020-01-22	NA	NA	NA	NA	NA	NA
France	0	0	0	NA	0	0	0	0	0	0	0	0	2020-01-22	NA	NA	NA	NA	NA	NA
Australia	0	0	0	NA	0	0	0	0	0	0	0	0	2020-01-22	NA	NA	NA	NA	NA	NA
Japan	2	0	0	NA	2e-8	0	10	4	2.5	1e-7	4e-8	2.5e-8	2020-01-22	NA	NA	NA	NA	NA	NA
Taiwan	1	0	0	NA	4e-8	0	5	2	1.25	2e-7	8e-8	5e-8	2020-01-22	NA	NA	NA	NA	NA	NA
China	571	0	0	NA	3e-8	0	180	72	45	1.5e-7	6e-8	3.75e-8	2020-01-22	NA	NA	NA	NA	NA	NA
South Korea	1	0	0	NA	2e-8	0	5	2	1.25	1e-7	4e-8	2.5e-8	2020-01-22	NA	NA	NA	NA	NA	NA
Thailand	2	0	0	NA	3e-8	0	10	4	2.5	1.5e-7	6e-8	3.75e-8	2020-01-22	NA	NA	NA	NA	NA	NA
Canada	0	0	0	NA	0	0	0	0	0	0	0	0	2020-01-23	0	0	NA	NA	NA	NA
United States of America	1	0	0	NA	0	0	5	2	1.25	0	0	0	2020-01-23	0	0	NA	NA	NA	NA
Mexico	0	0	0	NA	0	0	0	0	0	0	0	0	2020-01-23	NA	NA	NA	NA	NA	NA
United Kingdom	0	0	0	NA	0	0	0	0	0	0	0	0	2020-01-23	0	0	NA	NA	NA	NA
Italy	0	0	0	NA	0	0	0	0	0	0	0	0	2020-01-23	0	0	NA	NA	NA	NA
France	0	0	0	NA	0	0	0	0	0	0	0	0	2020-01-23	0	0	NA	NA	NA	NA
Brazil	0	0	0	NA	0	0	0	0	0	0	0	0	2020-01-23	NA	NA	NA	NA	NA	NA
Colombia	0	0	0	NA	0	0	0	0	0	0	0	0	2020-01-23	NA	NA	NA	NA	NA	NA
Australia	0	0	0	NA	0	0	0	0	0	0	0	0	2020-01-23	0	0	NA	NA	NA	NA
Singapore	1	0	0	NA	1.8e-7	0	5	2	1.25	9e-7	3.6e-7	2.25e-7	2020-01-23	NA	NA	NA	NA	NA	NA
Philippines	0	0	0	NA	0	0	0	0	0	0	0	0	2020-01-23	NA	NA	NA	NA	NA	NA
Malaysia	0	0	0	NA	0	0	0	0	0	0	0	0	2020-01-23	NA	NA	NA	NA	NA	NA
Vietnam	2	0	0	NA	2e-8	0	10	4	2.5	1e-7	4e-8	2.5e-8	2020-01-23	NA	NA	NA	NA	NA	NA
China	830	0	0	NA	7e-8	0	455	182	113.75	3.5e-7	1.4e-7	8.75e-8	2020-01-23	259	0	NA	NA	NA	NA
Thailand	3	0	0	NA	4e-8	0	15	6	3.75	2e-7	8e-8	5e-8	2020-01-23	1	0	NA	NA	NA	NA
Japan	1	0	0	NA	1e-8	0	5	2	1.25	5e-8	2e-8	1.25e-8	2020-01-23	0	0	NA	NA	NA	NA
Taiwan	1	0	0	NA	4e-8	0	5	2	1.25	2e-7	8e-8	5e-8	2020-01-23	0	0	NA	NA	NA	NA
South Korea	1	0	0	NA	2e-8	0	5	2	1.25	1e-7	4e-8	2.5e-8	2020-01-23	0	0	NA	NA	NA	NA
Canada	0	0	0	NA	0	0	0	0	0	0	0	0	2020-01-24	0	0	NA	NA	NA	NA
United States of America	1	0	0	NA	0	0	5	2	1.25	0	0	0	2020-01-24	0	0	NA	NA	NA	NA
United Kingdom	0	0	0	NA	0	0	0	0	0	0	0	0	2020-01-24	0	0	NA	NA	NA	NA
Italy	0	0	0	NA	0	0	0	0	0	0	0	0	2020-01-24	0	0	NA	NA	NA	NA
France	2	0	0	NA	3e-8	0	10	4	2.5	1.5e-7	6e-8	3.75e-8	2020-01-24	2	0	NA	NA	NA	NA
Australia	0	0	0	NA	0	0	0	0	0	0	0	0	2020-01-24	0	0	NA	NA	NA	NA
Singapore	3	0	0	NA	5.3e-7	0	15	6	3.75	2.65e-6	1.06e-6	6.625e-7	2020-01-24	2	0	NA	NA	NA	NA
Vietnam	2	0	0	NA	2e-8	0	10	4	2.5	1e-7	4e-8	2.5e-8	2020-01-24	0	0	NA	NA	NA	NA
China	1287	24	32	NA	5.2e-7	2e-8	8000	3692.30769231	2400	6.66666666667e-6	3.07692307692e-6	2e-6	2020-01-24	457	24	NA	NA	NA	NA
Thailand	5	0	0	NA	7e-8	0	25	10	6.25	3.5e-7	1.4e-7	8.75e-8	2020-01-24	2	0	NA	NA	NA	NA
Japan	2	0	0	NA	2e-8	0	10	4	2.5	1e-7	4e-8	2.5e-8	2020-01-24	1	0	NA	NA	NA	NA
Taiwan	3	0	0	NA	1.3e-7	0	15	6	3.75	6.5e-7	2.6e-7	1.625e-7	2020-01-24	2	0	NA	NA	NA	NA
South Korea	2	0	0	NA	4e-8	0	10	4	2.5	2e-7	8e-8	5e-8	2020-01-24	1	0	NA	NA	NA	NA
Canada	0	0	0	NA	0	0	0	0	0	0	0	0	2020-01-25	0	0	NA	NA	NA	NA
United States of America	1	0	0	NA	0	0	5	2	1.25	0	0	0	2020-01-25	0	0	NA	NA	NA	NA
United Kingdom	0	0	0	NA	0	0	0	0	0	0	0	0	2020-01-25	0	0	NA	NA	NA	NA
Italy	0	0	0	NA	0	0	0	0	0	0	0	0	2020-01-25	0	0	NA	NA	NA	NA
France	3	0	0	NA	4e-8	0	15	6	3.75	2e-7	8e-8	5e-8	2020-01-25	1	0	NA	NA	NA	NA
Australia	4	0	0	NA	1.6e-7	0	20	8	5	8e-7	3.2e-7	2e-7	2020-01-25	4	0	NA	NA	NA	NA
Singapore	3	0	0	NA	5.3e-7	0	15	6	3.75	2.65e-6	1.06e-6	6.625e-7	2020-01-25	0	0	NA	NA	NA	NA
Nepal	1	0	0	NA	4e-8	0	5	2	1.25	2e-7	8e-8	5e-8	2020-01-25	NA	NA	NA	NA	NA	NA
Malaysia	3	0	0	NA	9e-8	0	15	6	3.75	4.5e-7	1.8e-7	1.125e-7	2020-01-25	NA	NA	NA	NA	NA	NA
Vietnam	2	0	0	NA	2e-8	0	10	4	2.5	1e-7	4e-8	2.5e-8	2020-01-25	0	0	NA	NA	NA	NA
China	1975	41	33	NA	7.6e-7	3e-8	13666.6666667	6307.69230769	4100	1e-5	4.61538461538e-6	3e-6	2020-01-25	688	17	NA	NA	NA	NA
Thailand	7	0	0	NA	1e-7	0	35	14	8.75	5e-7	2e-7	1.25e-7	2020-01-25	2	0	NA	NA	NA	NA
Japan	2	0	0	NA	2e-8	0	10	4	2.5	1e-7	4e-8	2.5e-8	2020-01-25	0	0	NA	NA	NA	NA
Taiwan	3	0	0	NA	1.3e-7	0	15	6	3.75	6.5e-7	2.6e-7	1.625e-7	2020-01-25	0	0	NA	NA	NA	NA
South Korea	2	0	0	NA	4e-8	0	10	4	2.5	2e-7	8e-8	5e-8	2020-01-25	0	0	NA	NA	NA	NA
Canada	1	0	0	NA	3e-8	0	5	2	1.25	1.5e-7	6e-8	3.75e-8	2020-01-26	1	0	NA	NA	NA	NA
United States of America	3	0	0	NA	1e-8	0	15	6	3.75	5e-8	2e-8	1.25e-8	2020-01-26	2	0	NA	NA	NA	NA
United Kingdom	0	0	0	NA	0	0	0	0	0	0	0	0	2020-01-26	0	0	NA	NA	NA	NA
Italy	0	0	0	NA	0	0	0	0	0	0	0	0	2020-01-26	0	0	NA	NA	NA	NA
France	3	0	0	NA	4e-8	0	15	6	3.75	2e-7	8e-8	5e-8	2020-01-26	0	0	NA	NA	NA	NA
Australia	4	0	0	NA	1.6e-7	0	20	8	5	8e-7	3.2e-7	2e-7	2020-01-26	0	0	NA	NA	NA	NA
Singapore	4	0	0	NA	7.1e-7	0	20	8	5	3.55e-6	1.42e-6	8.875e-7	2020-01-26	1	0	NA	NA	NA	NA
Nepal	1	0	0	NA	4e-8	0	5	2	1.25	2e-7	8e-8	5e-8	2020-01-26	0	0	NA	NA	NA	NA
Malaysia	4	0	0	NA	1.3e-7	0	20	8	5	6.5e-7	2.6e-7	1.625e-7	2020-01-26	1	0	NA	NA	NA	NA
Vietnam	2	0	0	NA	2e-8	0	10	4	2.5	1e-7	4e-8	2.5e-8	2020-01-26	0	0	NA	NA	NA	NA
China	1541	53	47	NA	1.11e-6	4e-8	17666.6666667	8153.84615385	5300	1.33333333333e-5	6.15384615385e-6	4e-6	2020-01-26	0	12	NA	NA	NA	NA
Thailand	8	0	2	NA	1.2e-7	0	40	16	10	6e-7	2.4e-7	1.5e-7	2020-01-26	1	0	NA	NA	NA	NA
Japan	4	0	1	NA	3e-8	0	20	8	5	1.5e-7	6e-8	3.75e-8	2020-01-26	2	0	NA	NA	NA	NA
Taiwan	4	0	0	NA	1.7e-7	0	20	8	5	8.5e-7	3.4e-7	2.125e-7	2020-01-26	1	0	NA	NA	NA	NA
South Korea	3	0	0	NA	6e-8	0	15	6	3.75	3e-7	1.2e-7	7.5e-8	2020-01-26	1	0	NA	NA	NA	NA
Canada	1	0	0	NA	3e-8	0	5	2	1.25	1.5e-7	6e-8	3.75e-8	2020-01-27	0	0	NA	NA	NA	NA
United States of America	3	0	0	NA	1e-8	0	15	6	3.75	5e-8	2e-8	1.25e-8	2020-01-27	0	0	NA	NA	NA	NA
United Kingdom	0	0	0	NA	0	0	0	0	0	0	0	0	2020-01-27	0	0	NA	NA	NA	NA
Italy	0	0	0	NA	0	0	0	0	0	0	0	0	2020-01-27	0	0	NA	NA	NA	NA
France	3	0	0	NA	4e-8	0	15	6	3.75	2e-7	8e-8	5e-8	2020-01-27	0	0	NA	NA	NA	NA
Australia	4	0	0	NA	1.6e-7	0	20	8	5	8e-7	3.2e-7	2e-7	2020-01-27	0	0	NA	NA	NA	NA
Ivory Coast	1	0	0	NA	4e-8	0	5	2	1.25	2e-7	8e-8	5e-8	2020-01-27	NA	NA	NA	NA	NA	NA
Singapore	5	0	0	NA	8.9e-7	0	25	10	6.25	4.45e-6	1.78e-6	1.1125e-6	2020-01-27	1	0	NA	NA	NA	NA
Nepal	1	0	0	NA	4e-8	0	5	2	1.25	2e-7	8e-8	5e-8	2020-01-27	0	0	NA	NA	NA	NA
Cambodia	1	0	0	NA	6e-8	0	5	2	1.25	3e-7	1.2e-7	7.5e-8	2020-01-27	NA	NA	NA	NA	NA	NA
Malaysia	4	0	0	NA	1.3e-7	0	20	8	5	6.5e-7	2.6e-7	1.625e-7	2020-01-27	0	0	NA	NA	NA	NA
Vietnam	2	0	0	NA	2e-8	0	10	4	2.5	1e-7	4e-8	2.5e-8	2020-01-27	0	0	NA	NA	NA	NA
China	4515	80	53	NA	1.52e-6	6e-8	26666.6666667	12307.6923077	8000	2e-5	9.23076923077e-6	6e-6	2020-01-27	2974	27	NA	NA	NA	NA
Thailand	8	0	2	NA	1.2e-7	0	40	16	10	6e-7	2.4e-7	1.5e-7	2020-01-27	0	0	NA	NA	NA	NA
