Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Confirmed_daily	Deaths_daily	Tests	Tests_per_capita
Turkey	670	9	0	N/A	8.14e-06	1.1e-07	3000	1384.61538462	900	3.66666666667e-05	1.69230769231e-05	1.1e-05	311	5	NA	NA
Italy	53578	4825	6072	N/A	0.00088659	7.984e-05	1608333.33333	742307.692308	482500	0.0266133333333	0.0122830769231	0.007984	6557	793	NA	NA
Czech Republic	995	0	6	N/A	9.364e-05	0.0	4975	1990	1243.75	0.0004682	0.00018728	0.00011705	162	0	15584	0.001463
Vatican	1	0	0	N/A	0.00124844	0.0	5	2	1.25	0.0062422	0.00249688	0.00156055	0	0	NA	NA
San Marino	144	20	4	N/A	0.00426225	0.00059198	6666.66666667	3076.92307692	2000	0.197326666667	0.0910738461538	0.059198	0	6	NA	NA
Luxembourg	670	8	0	N/A	0.00110247	1.316e-05	2666.66666667	1230.76923077	800	0.00438666666667	0.00202461538462	0.001316	186	4	NA	NA
France	14340	563	12	N/A	0.00021407	8.4e-06	187666.666667	86615.3846154	56300	0.0028	0.00129230769231	0.00084	1676	112	NA	NA
Andorra	88	0	1	N/A	0.00114277	0.0	440	176	110	0.00571385	0.00228554	0.0014284625	13	0	NA	NA
Georgia	49	0	1	N/A	1.313e-05	0.0	245	98	61.25	6.565e-05	2.626e-05	1.64125e-05	6	0	NA	NA
Slovakia	178	1	0	N/A	3.268e-05	1.8e-07	333.333333333	153.846153846	100	6e-05	2.76923076923e-05	1.8e-05	41	0	NA	NA
Ireland	785	3	5	N/A	0.00016174	6.2e-07	1000	461.538461538	300	0.000206666666667	9.53846153846e-05	6.2e-05	102	0	NA	NA
Norway	2118	7	1	N/A	0.00039854	1.32e-06	2333.33333333	1076.92307692	700	0.00044	0.000203076923077	0.000132	204	0	NA	NA
