Name	Cases	Cases_per_capita	Total_Cases	Total_Cases_per_capita	Deaths	Deaths_per_capita	Total_Deaths	Total_Deaths_per_capita
New Zealand	10344.344	0.00211736	3807882.625	0.77942537	62.066	1.27e-05	22847.296	0.00467655
Australia	22281.157	0.00089152	19877962.031	0.79536126	133.687	5.35e-06	119267.772	0.00477217
Fiji	2953.655	0.00334319	672462.413	0.76114924	17.722	2.006e-05	4034.774	0.0045669
Papua New Guinea	28772.584	0.00334319	6550690.87	0.76114924	172.636	2.006e-05	39304.145	0.0045669
New Zealand	10344.344	0.00211736	3807882.625	0.77942537	62.066	1.27e-05	22847.29574781	0.00467655
Australia	22281.157	0.00089152	19877962.031	0.79536126	133.687	5.35e-06	119267.7721834	0.00477217
Fiji	2953.655	0.00334319	672462.413	0.76114924	17.722	2.006e-05	4034.77447608	0.0045669
Papua New Guinea	28772.584	0.00334319	6550690.87	0.76114924	172.636	2.006e-05	39304.14521824	0.0045669
New Zealand	50537291506.538	10344.34377373	18603410562651.996	3807882.62463453	62.066	1.27e-05	22843.149	0.0046757
Australia	556858896192.615	22281.15694805	496797362035893.1	19877962.03056594	133.687	5.35e-06	119246.561	0.00477132
Fiji	2609504052.358	2953.65508149	594109109741.144	672462.4126793	17.722	2.006e-05	4034.025	0.00456605
Papua New Guinea	247625951562.347	28772.58417682	56377315643004.41	6550690.86970597	172.636	2.006e-05	39296.841	0.00456605
New Zealand	10344.344	0.00211736	3807882.625	0.77942537	62.066	1.27e-05	22843.149	0.0046757
Australia	22281.157	0.00089152	19877962.031	0.79536126	133.687	5.35e-06	119246.561	0.00477132
Fiji	2953.655	0.00334319	672462.413	0.76114924	17.722	2.006e-05	4034.025	0.00456605
Papua New Guinea	28772.584	0.00334319	6550690.87	0.76114924	172.636	2.006e-05	39296.841	0.00456605
New Zealand	850297.61	0.17404516	313005210.1	64.06820389	9398.026	0.00192366	1808485.867	0.37017416
Australia	9369235.561	0.37488385	8358691120.517	334.44973226	126484.68	0.00506093	49273780.889	1.97155303
Fiji	43905.302	0.0496957	9995976.065	11.3142823	488.812	0.00055328	56507.338	0.06395973
Papua New Guinea	4166344.27	0.4841031	948556904.031	110.21636947	46385.3	0.00538968	5362200.227	0.62305407
New Zealand	10344.344	0.00211736	3807882.625	0.77942537	114.332	2.34e-05	22001.237	0.00450337
Australia	22281.157	0.00089152	19877962.031	0.79536126	300.796	1.204e-05	117178.914	0.00468859
Fiji	2953.655	0.00334319	672462.413	0.76114924	32.884	3.722e-05	3801.436	0.00430278
Papua New Guinea	28772.584	0.00334319	6550690.87	0.76114924	320.335	3.722e-05	37031.111	0.00430278
New Zealand	10344.344	0.00211736	3807882.625	0.77942537	114.332	2.34e-05	22001.237	0.00450337
Australia	22281.157	0.00089152	19877962.031	0.79536126	300.796	1.204e-05	117178.914	0.00468859
Fiji	2953.655	0.00334319	672462.413	0.76114924	32.884	3.722e-05	3801.436	0.00430278
Papua New Guinea	28772.584	0.00334319	6550690.87	0.76114924	320.335	3.722e-05	37031.111	0.00430278
New Zealand	10344.344	0.00211736	3807882.625	0.77942537	114.332	2.34e-05	22001.237	0.00450337
Australia	22281.157	0.00089152	19877962.031	0.79536126	300.796	1.204e-05	117178.914	0.00468859
Fiji	2953.655	0.00334319	672462.413	0.76114924	32.884	3.722e-05	3801.436	0.00430278
Papua New Guinea	28772.584	0.00334319	6550690.87	0.76114924	320.335	3.722e-05	37031.111	0.00430278
New Zealand	10344.344	0.00211736	3807882.625	0.77942537	114.332	2.34e-05	22001.237	0.00450337
Australia	22281.157	0.00089152	19877962.031	0.79536126	300.796	1.204e-05	117178.914	0.00468859
Fiji	2953.655	0.00334319	672462.413	0.76114924	32.884	3.722e-05	3801.436	0.00430278
Papua New Guinea	28772.584	0.00334319	6550690.87	0.76114924	320.335	3.722e-05	37031.111	0.00430278
