Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Confirmed_daily	Deaths_daily	Confirmed_change	Deaths_change	Tests	Tests_per_capita
British Columbia	271	8	4	N/A	5.398e-05	1.59e-06	2666.66666667	1230.76923077	800	0.00053	0.000244615384615	0.000159	40	1	-11.1	100	17912	0.003532
Newfoundland and Labrador	4	0	0	N/A	7.64e-06	0.0	20	8	5	3.82e-05	1.528e-05	9.55e-06	1	0	100	100	791	0.001517
Newfoundland and Labrador	4	0	0	N/A	7.64e-06	0.0	20	8	5	3.82e-05	1.528e-05	9.55e-06	1	0	100	100	791	0.001517
Saskatchewan	20	0	0	N/A	1.712e-05	0.0	100	40	25	8.56e-05	3.424e-05	2.14e-05	4	0	-50	100	3093	0.002617
Saskatchewan	20	0	0	N/A	1.712e-05	0.0	100	40	25	8.56e-05	3.424e-05	2.14e-05	4	0	-50	100	3093	0.002617
Prince Edward Island	2	0	0	N/A	1.292e-05	0.0	10	4	2.5	6.46e-05	2.584e-05	1.615e-05	0	0	-100	100	167	0.001056
Prince Edward Island	2	0	0	N/A	1.292e-05	0.0	10	4	2.5	6.46e-05	2.584e-05	1.615e-05	0	0	-100	100	167	0.001056
Ontario	308	2	5	N/A	2.132e-05	1.4e-07	666.666666667	307.692307692	200	4.66666666667e-05	2.15384615385e-05	1.4e-05	51	1	41.7	100	19511	0.001339
Nova Scotia	15	0	0	N/A	1.544e-05	0.0	75	30	18.75	7.72e-05	3.088e-05	1.93e-05	1	0	-50	100	1551	0.001587
Quebec	139	1	0	N/A	1.648e-05	1.2e-07	333.333333333	153.846153846	100	4e-05	1.84615384615e-05	1.2e-05	18	0	-33.3	-100	NA	NA
Grand Princess	10	0	0	N/A	N/A	N/A	50	20	12.5	N/A	N/A	N/A	1	0	100	100	NA	NA
Alberta	146	1	0	N/A	3.36e-05	2.3e-07	333.333333333	153.846153846	100	7.66666666667e-05	3.53846153846e-05	2.3e-05	27	1	22.7	100	NA	NA
Manitoba	17	0	0	N/A	1.25e-05	0.0	85	34	21.25	6.25e-05	2.5e-05	1.5625e-05	0	0	-100	100	NA	NA
New Brunswick	11	0	0	N/A	1.425e-05	0.0	55	22	13.75	7.125e-05	2.85e-05	1.78125e-05	0	0	100	100	516	6.62e-4
